setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
Thanks , Is there any easy way to set the classpath such that javascript can find it . - Anand .	N , V R D A N P V D N X D ^ V V O , , ^ ,
I agree with this answer . I used DWR in an web-based application . The application gives a great user experience , but I think the application doesn't work fast , because of all the JavaScript and httprequest .	O V P D N , O V ^ P D A N , D N V D A N N , & O V D N V V R , P P X D ^ & G ,
More about caching engine.js on DWR's site : http://directwebremoting.org/dwr/browser/engine/static.html	A P V ^ P Z N , U
I am helping someone out with a javascript-based web app ( even though I know next to nothing about web development ) and we are unsure about the best way to implement a feature we'd like to have . Basically , the user will be using our tool to view all kinds of boring data in tables , columns , etc . via javascript . We want to implement a feature where the user can click a button or link that then allows the user to download the displayed data in a . doc file . Our basic idea so far is something like : call a Java function on the server with the desired data passed in as a String when the link is clicked generate the . doc file on the server automatically " open " a link to the file in the client's browser to initiate the download Is this possible ? If so , is it feasible ? Or , can you recommend a better solution ? edit : the data does not reside on the server ; rather , it is queried from a SQL database	O V V O T P D A N N , R P O V R P N P N N , & O V A P D A N P V D N L V P V , R , D N V V V D N P V D N P A N P N , N , G , P ^ , O V P V D N R D N V V D N & V P R V D N P V D A N P D , N N , D A N R R V N V , V D ^ N P D N P D A N V P P D ^ R D N V V V D , N N P D N R , V , D N P D N P D S N P V D N V D A , P R , V O A , & , V O V D A N , V , D N V R V P D N , R , O V V P D ^ N
Your basic idea sounds a bit Rube-Goldbergesque . Is the data you want in the document present on the server ? If so , then all you need to do is display a plain HTML link with GET parameters that describes the data ( i.e. data for customer X from date A to date B ) . The link will be handled on the server by a Servlet that gets the data and produces the . DOC file as its output to be downloaded by the browser - a very simple one-step process that doesn't even involve any JavaScript .	D A N V D N A , V D N O V P D N N P D N , P R , R R O V P V V V D A ^ N P V N O V D N , G N P N G P N G P N G , , D N V V V P D N P D N O V D N & V D , ^ N P D N P V V P D N , D R A N N O V R V D ^ ,
thats a nice trick :) but the file format won't really be DOC now , will it :)	L D A N E & D N N V R V ^ R , V O E
How can I get a signed Java Applet to perform privileged operations when called from unsigned Javascript ?	R V O V D V ^ N P V A N R V P A ^ ,
" dd / mm / yy ( 07 / 06 / 2009 )" does not compute , but I won't edit it because I'm not sure on exactly what you intend .	, G , G , G , $ , $ , $ , V R V , & O V V O P L R A P R O O V ,
( However I am still down-voting this question because if you need to do this , you re doing it wrong ) .	, R O V R V D N P P O V P V D , O N V O A , ,
I really think a libary is the way to go on this one as well . FWIW , dojo has a good one as well . http://docs.dojocampus.org/dojo/date/locale	O R V D N V D N P V P D $ P R , G , ^ V D A $ P R , U
