javascript / XUL invoking java ? interesting ... any ref ?	^ , ^ V ^ , A , D N ,
While using DWR in a intranet , will disadvantages like perfomance or security issues occur ? Direct web remoting is a tool which uses Ajax request to contact a server from a js file .	P V ^ P D N , V N P N & N N V , A N V V D N O V ^ N P V D N P D ^ N ,
Main problem I've experienced is trying to script a load test on a system where the main bulk of the work is done via DWR calls . The format of the calls is difficult to replicate when compared with just replying a bunch of urls with changing parameters . Still DWR is an excellent framework and makes implementing Javascript -> Java RPC pretty damn easy .	A N L V V V P V D N N P D N R D A N P D N V V P ^ V , D N P D N V A P V O V P R V D N P ^ P V N , R ^ V D A N & V V ^ , ^ ^ R A A ,
The biggest difference among other solutions to transfer objects ( marshaling ) is object references . For instance , if you use it to transfer a tree : A |-B |-C in a list { A , B , C} : B.parent = A C.parent = A then A is the same object in Javascrit ! On the bad side , if you have complex structures with circular dependencies and lot of objects : A -B , B -C , C -B , C . A ,... it could crash . Anyway , I use it in a real project used by many hundreds of companies in production to transfer thousands of objects to a single html page in order to draw a complex graph and it works nicely with a good performance .	D A N P A N P N N , V , V N N , P N , P O V O P V D N , G G G P D N , C , C , C , C = C C = C R G V D A N P ^ , P D A N , P O V A N P A N & N P N , G G , G G , G G , G , G , O V V , R , O V O P D A N V P A N P N P N P V N P N P D A ^ N P N P V D A N & O V R P D A N ,
a java enabled one , i presume	D ^ V $ , O V
Which means the server can simply run the same query again - it has done it before , it's not the javaScript that directly accesses the DB , is it ?	O V D N V R V D A N R , O V V O R , L R D ^ D R N D ^ , V O ,
True , but if the user sees the results opening in Word , nobody cares ( from experience ) . We did the same trick for export only excel spreadsheets - no problem with comma-semicolon separator unlike in csv .	A , & P D N V D N V P ^ , O V , P N , , O V D A N P V R ^ N , D N P N N P P ^ ,
It's worth adding : make your privaction'd run() method as small and self-contained as possible . Obviously you could just have your signed applet's init() method call a privileged run() which in turn does the actual applet , but that's just begging to be abused , misused accidentally , or outright exploited . Also , the fact that signed applets lose their special permissions when called by JavaScript is not specific to a particular browser or platform . That's just how it is , everywhere , all the time .	L V V , V D L ^ N P A & A P A , R O V R V D V S ^ N V D A ^ D P V V D A N , & L R V P V V , V R , & R V , R , D N P A N V D A N R V P ^ V R A P D A N & N , L R R O V , R , X D N ,
Did you mean " dd / mm / yy ( 07 / 06 / 09 )" ? Otherwise I don't understand the difference between the two sample dates you gave .	V O V , G , G , G , $ , $ , $ , , R O V V D N P D $ N N O V ,
The javascript code in this page implements some date functions and they " use the same format strings as the java.text.SimpleDateFormat class , with a few minor exceptions " . It is not the very same as you want but it can be a good start point .	D ^ N P D N V D N N & O , V D A N N P D ^ N , P D A A N , , O V R D R A P O V & O V V D A N N ,
I have a similar problem with Java Date -> Javascript Date -> DatePicker . This helped get me a lot closer . Thanks !	O V D A N P ^ N , ^ N , ^ , D V V O D N R , N ,
You could use my plugin jquery-dateFormat .	O V V D N ^ ,
Communication between Java and Javascript without Netscape or IE ?	N P ^ & ^ P ^ & ^ ,
It looks like the GET and POST is the solution I've been looking for . I am able to find the credential fields and enter text , but how does one simulate a button click ? The line in the source code is : It seems I would either invoke the onclick property of the button or make a direct call to doLogin() , but I am unsure how to do either . Thanks for the help so far .	O V P D N & N V D N L V V P , O V A P V D A N & V N , & R V O V D N N , D N P D N N V , O V O V R V D N N P D N & V D A N P ^ , & O V A R P V R , N P D N R R ,
This can be done using java script window.open('url','name ' ,.... ) you can pass parameters in this function . google for " javascript window.open function " Cheers	D V V V V ^ N G , ~ , O V V N P D N , ^ P , ^ ^ N , !
You could use JavaScript . On the button you add : and within the script part of the page you write a function like and in your Servlet you just wait for the file to appear before delivering it .	O V V ^ , P D N O V , & P D N N P D N O V D N V & P D N O R V P D N P V P V O ,
Split java strings in Rhino	A ^ N P ^
split takes an argument , which is the regular expression you want to use to split your tokens . http://java.sun.com/j2se/1.5.0/docs/api/java/lang/String.html	V V D N , O V D A N O V P V P V D N , U
Sometime ago I was facing the problem the other way around : how to drag an item ( folder / file ) from an explorer window ( be it windows explorer , linux nautilus etc . ) to the browser window - that is , the drag starts in one application and ends in the browser . Since I had control over the browser , I was able to intercept the dragend event : the one which interested me . Now , I want to do this from the browser to the file explorer application : much like when you drag an image from firefox and drop it in a folder . My main problem is that while I can check when the drag event exited the browser window , I have no ideea how to get the location where the drag event finished . My ideea is to create a signed java applet and somehow track the mouse movement on the desktop - but this seems a little more than overkill . Any pointers on this ?	R R O V V D N D A N P , R P V D N , N , N , P D N N , V O ^ N , ^ ^ R , , P D N N , O V , D N V P $ N & V P D N , P O V N P D N , O V A P V D N N , D $ D V O , R , O V P V D P D N P D N N N , R R R O V D N P ^ & V O P D N , D A N V O P O V V R D N N V D N N , O V D N R P V D N R D N N V , D N V P V D V ^ ^ & R V D N N P D N , & D V D A A P N , D N P D ,
I guess it will accept most of the main mime-types . I believe now that when the dragexit happens , I need to pass control over to the java applet and from there construct the Transferable objects .	O V O V V R P D A N , O V R O R D N V , O V P V N N P D ^ N & P X V D A N ,
Isn't there one already built in or use one of the many plug-ins that do it ? Google Search ?	V X $ R V P & V $ P D A N D V O , ^ N ,
What are FTL files	O V ^ N
Have a look here . Following files have FTL extension : Family Tree Legends Family File FreeMarker Template Future Tense Texture	V D V R , A N V ^ N , N N N N N ^ N N N N
. FLT is a file extension which is a mod for Faster than light , installed by Slipstream Mod Manager , which requires Java .	, ^ V D N N O V D N P A P N , V P ^ ^ N , D V ^ ,
This is a fairly big misconception . The first chapter of every pretty much any javascript book describes how it's almost entirely unrelated to java .	D V D R A N , D A N P D R A D ^ N V R L R R A P ^ ,
isn't this equivalent to " Comparing Apples with Oranges "	V D N P , V N P ^ ,
Agree to all the comments , all i wanted to say is Java ! = JavaScript	V P X D N , X O V P V V ^ ? ? ^
Is it really a " completely " different thing , or are we intended to overlook what they have in common ? However , I think that Java is rather a subset of Javascript than the other way round . ;)	V O R D , R , A N , & V O V P V O O V P N , R , O V D ^ V R D N P ^ P D A N P , E
You shouldn't compare Java and Dojo , they are quite different animals . Dojo is a Javascript toolkit / library so you should rather compare it to ExtJS for instance . And yes , you can use whatever js script you like in the HTML / jsp pages of your web application . Regarding Java frameworks , first and foremost look into Spring .	O V V ^ & ^ , O V R A N , ^ V D ^ N , N P O V R V O P ^ P N , & ! , O V V D ^ N O V P D ^ , ^ N P D N N , V ^ N , R & R V P N ,
* " Java is to Javascript what subway is to car " *	, , ^ V P ^ D N V P N , ,
I have the following method in my applet : Which I call from Javascript as follows : This works in Firefox but IE gives me Any ideas anyone ?	O V D N N P D N , D O V P ^ P N , D V P ^ & ^ V O D N N ,
You can use Firebug Lite in IE to investigate what's going on with files First , include Firebug Lite in your file Now log it in the console with Now you can investigate what object was actually being returned by getFiles() I give this suggestion because IE said length is null not or not an object instead of files is null or not an object , so maybe files have other methods that you can use . Use Firebug to reflect those .	O V V ^ ^ P ^ P V L V P P V R , V ^ ^ P D N R V O P D V P R O V V D N V R V V P ^ O V D N P ^ V N V A R & R D N R P N V A & R D N , R R V V A N P O V V , V ^ P V O ,
