Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
I'm working with an existing Java codebase which , while it can be invoked from an HTML page using an APPLET tag , does not actually subclass the Applet class . The same jars are also used in a non-browser context , so they did not subclass Applet . Now I need to communicate some values from Java back to the Javascript of the invoking page . Normally one would do this using JSObject , but so far as I can one has to use JSObject.getWindow which only works for subclasses of Applet . Is there either : a way to use JSObject from something which isn't an Applet subclass ? some other mechanism to communicate back to the Javascript of the invoking page ?	L V P D V ^ P D , P O V V V P D ^ N V D ^ N , V R R P D N N , D A ^ V R V P D A N , P O V R A ^ , R O V P V D N P ^ N P D ^ P D V N , R O V V D V ^ , & R R P O V O V P V ^ D A V P V P ^ , V R R , D N P V ^ P N O V D ^ N , D A N P V R P D ^ P D V N ,
Call JSObject.getWindow ( this ) in the applet . Then pass the JSObject into the code that needs it in the usual fashion .	V ^ , D , P D ^ , R V D ^ P D N P V O P D A N ,
I think you're actually going to need to implement an applet in a jar file to handle the communication between your code and the browser itself . Perhaps just use the non-applet jar as a class lib and make the applet jar a simple wrapper that proxies your calls between the browser and the Java code .	O V L R V P V P V D N P D ^ V P V D N P D N & D N O , R R V D ^ ^ P D N N & V D N ^ D A N D N D V P D N & D ^ N ,
What's wrong with returning a value ? From Javascript You can access the Java-object by using getElementById ( " id-of-embed-tag ") . Then you can invoke any public method on that object . The Java object returned by that method will be available to your Javascript code .	L A P V D N , P ^ O V V D ^ P V ^ E , ^ , , R O V V D A N P D N , D ^ N V P D N V V A P D ^ N ,
Thats an approach I had not considered . I'd end up polling from the Javascript until something changes , but that might work .	L D V O V R V , L N T V P D ^ P N N , & O V N ,
URL decoding in Javascript	^ V P ^
I want to decode a string that has been encoded using the java.net.URLEncoder.encode() method . I tried using the unescape() function in javascript , but a problem occurs for blank spaces because java.net.URLEncoder.encode() converts a blank space to ' + ' but unescape() won't convert ' + ' to a blank space .	O V P V D N O V V V V D ^ N , O V V D ^ N P ^ , & D N V P N N P ^ V D N N P , G , & ^ V V , G , P D N N ,
Try decodeURI ( "") or decodeURIComponent ( "") ! - )	V ^ E E E ^ , , , G G
Just because it takes a string as argument ! - )	R P O V D N P N , E E
Using JavaScript's escape / unescape function is almost always the wrong thing , it is incompatible with URL-encoding or any other standard encoding on the web . Non-ASCII characters are treated unexpectedly as well as spaces , and older browsers don't necessarily have the same behaviour . As mentioned by roenving , the method you want is decodeURIComponent() . This is a newer addition which you won't find on IE 5.0 , so if you need to support that browser ( let's hope not , nowadays ! ) you'd need to implement the function yourself . And for non-ASCII characters that means you need to implement a UTF-8 encoder . Code is available if you need it .	V ^ N , N N V R R D A N , O V A P ^ & D A A N P D N , ^ N V V R R R P N , & A N V R V D A N , P V P V , D N O V V ^ , D V D A N P O V V P ^ $ , R P O V P V D N , L V R , R , , L V P V D N O , & P ^ N O V O V P V D ^ ^ , N V A P O V O ,
decodeURI[Component ] doesn't handle + as space either ( at least on FF3 , where I tested ) . Simple workaround : Indeed , unescape chokes on this URL : it knows only UTF-16 chars like %u2318 which are not standard ( see Percent-encoding ) .	^ , V V N P N & , O R P ^ , R O V , , A N , ! , O V P D N , O V A ^ N P $ D V R A , V ^ , ,
Try	V
How to register a JavaScript callback in a Java Applet ?	R P V D ^ N P D ^ N ,
I am brand new to Java -> JavaScript communication , as I planned to explore it this week . A good opportunity here ... :-) After some tests , it seems you cannot pass a JS function to a Java applet . Unless I am doing it the wrong way ... I tried : where Call is ( are ) defined as : When I pass a JS function ( all tests in FF3 ) , I get a null on the Java side . Note that the following Java routine allows to display the JS code of DumberTest function ! To the point : I made a JS function : I extract the name of the JS function from the toString result and pass it to Java applet . I don't think we can handle anonymous functions because Java call JS functions by name . Java side :	O V R A P ^ , ^ N , P O V P V O D N , D A N R , E P D N , O V O V V D ^ N P D ^ ^ , P O V V O D A N , O V , R N V , V , V P , R O V D ^ N , X N P ^ , , O V D N P D ^ N , V P D V ^ N V P V D ^ N P ^ N , P D N , O V D ^ N , O V D N P D ^ N P D ^ N & V O P ^ ^ , O V V O V V A N P ^ V ^ N P N , ^ N ,
win.eval() will call a predefined javascript .	^ V V D A ^ ,
eval is more generic , hence less efficient than call for this precise task , and it is more complex to pass parameters to the JS function .	^ V R A , R A A P V P D A N , & O V R A P V N P D ^ N ,
Why is it not advisable to use JavaScript in JSP ?	R V O R A P V ^ P ^ ,
Why is it not advisable to use JavaScript in JSP ? One rationale that I can think of is turning off the feature in browser would stop the code from executing . Is there any other reason behind this ?	R V O R A P V ^ P ^ , $ N P O V V P V V T D N P N V V D N P V , V R D A N P D ,
downvoted - questions like this should give references to any such assertion	V , N P D V V N P D A N
@Alnitak - could you be more specific	@ , V O V R A
JSP is a server side technology . That is - Server parses / compiles all the information and then sends it to the client ( i.e. your browser ) . And then .. If received data contains ANY javascript then browser interprets it in its own javascript VM and server is long forgotten by then since HTTP is stateless protocol . Considering " not recommending JS in web " I wouldn't bother about it . Most of the sites use JS extensively thus turning it off on the client side would render them mostly useless .	^ V D N N N , O V , N V , V X D N & R V O P D N , V D N , , & R , P V N V A ^ R N V O P L A ^ ^ & N V R V P R P ^ V A N , V , R V ^ P N , O V V P O , R P D N V ^ R R V O T P D N N V V O R A ,
Afaik , there is no problem in using javascript in jsp , and many sites do use it . Especially if your site is a web app , you will have to use both side by side . They are completely independent . You just have to make sure that what you are using each for is appropriate . As for the part about turning off javascript in a browser making the site unusable , it is true whenever you use javascript , with or without jsp .	^ , X V D N P V ^ P ^ , & A N V V O , R P D N V D N N , O V V P V D N P N , O V R A , O R V P V A P O O V V D P V A , R P D N P V T ^ P D N V D N A , O V A R O V ^ , P & P ^ ,
If you have many clients , then it may be a good idea to put calculations on the clients with JavaScript . If you do everything on the server , you are just going to waste the many processing powers provided by the client's browsers , and the speed advantage of Java would be for naught if too many clients make the server busy . ( Thanks to @Subtenante in the comments for pointing this out ! ) . But on the other side , Java running on the server is faster than JavaScript on the client , and it won't suffer from redundant code on the client , for testing which browser the client runs . JavaScript has its uses as trex pointed out , though . Since it runs on the client , it can for example validate form fields before sending it to the server .	P O V A N , R O V V D A N P V N P D N P ^ , P O V N P D N , O V R V P V D A N N V P D S N , & D N N P ^ V V P N P R A N V D N A , , N P @ P D N P V D T , E , & P D A N , ^ V P D N V R P ^ P D N , & O V V P A N P D N , P V D N D N N , ^ V L V P O V T , P , P O V P D N , O V P N V N N P V O P D N ,
Java is faster than JS , ok , but you have one server , and there may be LOTS of clients . Heavy functionalities may show a gain of performance when left out to the client , relieving the server from it .	^ V R P ^ , ! , & O V $ N , & R V V N P N , A N V V D V P N R V T P D N , V D N P O ,
Thanks for the comment . I agree with you , and amended my answer . I feel today that i don't in particular like my answer very much . If i could , i would delete my answer and tell the questioner to select another one from below :) But i hope you agree with my answer now :)	N P D N , O V P O , & V D N , O V N P O V P A P D N R A , P O V , O V V D N & V D N P V D $ P P E & O V O V P D N R E
He's got to mean " don't use java scriptlets " , which is the stuff between % % > . The biggest reason has got to be maintainability and debugging ; scriptlets make everything make both very difficult . On the other hand , if you implement taglibs , you can extract any logic to a real java class , which is easily debugged , and you will still be able to open things up in a visual xml / html editor , since taglibs are a valid xml structure . Now , it is a bad idea to do validation on the client side ( in javascript ) . Users can disable javascript or even access a url directly to get around validation , which opens you up to exploits .	L V P V , V V ^ N , , O V D N P , , , , D A N V V P V N & V , N V N V D R A , P D A N , P O V ^ , O V V D N P D A ^ N , O V R V , & O V R V A P A N P P D A ^ , ^ N , P ^ V D A ^ N , R , O V D A N P V N P D N N , P ^ , , ^ V V A & R V D N R P V P N , O V O T P N ,
" Now , it is a bad idea to do validation on the client side ( in javascript ) . " It's bad to * only * validate on the client side . Doing it in * addition* , however , makes for better responsiveness ( no need to wait for the server to reject it and reduction of load of the server ) .	, R , O V D A N P V N P D N N , P ^ E , , L A P , A , V P D N N , V O P , N , R , V P A N , D V P V P D N P V O & N P N P D N , ,
I would not disagree with this .	O V R V P D ,
Online exam web application	A N N N
I am developing an online exam using JSP / Servlets which is nearing completion . I'm planning to add timer function for the entire exam that shows elapsed time in minutes . How do I implement this with a fool-proof technique to implement this , because using javascript would mean that the user can turn off the feature in the browser . Any help on this would be highly appreciated .	O V V D A N V ^ , ^ O V V N , L V P V N N P D A N P V V N P N , R V O V D P D A N P V D , P V ^ V V P D N V V T D N P D N , D N P D V V R V ,
You can find a very good script here : http://codecanyon.net/item/online-skills-assessment/9379895 It is a good starting point for people looking to develop Online Exam System	O V V D R A N R , U O V D A V N P N V P V N N N
Server Side Store the time elapsed in the users session . Your pages can display the time remaining in javascript , People can mess with the javascript but they have no capability of messing with your timing logic always get the time remaining from server . Current Time - Start Time on all answers etc	N N V D N V P D N N , D N V V D N V P ^ , N V N P D ^ & O V D N P V P D N N R V D N V P N , A N , V N P D N G
Record the time that the user started and finished on the server . The user will have to press a button to indicate that they've started the exam , which can trigger the server to stamp the start time ; when the final answer is submitted , the server can record the total time taken .	^ D N P D N V & V P D N , D N V V P V D N P V P L V D N , O V V D N P V D N N , R D A N V V , D N V V D N N V ,
You can make javascript a requirement in the user's browser , and use javascript+AJAX - every minute , get the updated time from the server or make sure the times are synchronised .	O V V ^ D N P D S N , & V ^ , D N , V D V N P D N & V A D N V A ,
you can make javascript a requirement OR use ajax ???? huh ?	O V V ^ D N N V ^ , ! ,
my bad ... meant ' and '	D A , V , & ,
At Terracotta , we recently developed a reference web application for online exam-taking . We also implemented a client-side timer with Javascript and the code is open-source if you'd like to take a look . The main page for the docs and live demo is http://reference.terracotta.org The project source for the last release is here : http://svn.terracotta.org/svn/forge/projects/exam/tags/release-1.0.1 The actual Javascript timer code is here . Hopefully that's enough pointers to go on .	P ^ , O R V D N N N P A V , O R V D A N P ^ & D N V ^ P L V P V D V , D A N P D N & A N V U D N N P D A N V R , U D A ^ N N V R , R L A N P V P ,
The better way to manage timer is on client side instead of server side . What will happen if the network is very slow ? A guy with poor internet speed can not finish exam since your logic is on server side . You may look Skill Evaluation Lab exam software timer management and implement like this .	D A N P V N V P N N R P N N , O V V P D N V R A , D N P A N N V R V N P D N V P N N , O V V N N N N N N N & V P D ,
I prefer you buy available online scripts in market as starting point for it . This will save you time , cost and testing efforts . Below is one of the fine scripts that I worked it and it worked like charm . Using this as base I developed a online testing portal of over 1000 users using computer adaptive test . http://codecanyon.net/item/online-skills-assessment/9379895 It is a good starting point for people looking to develop Online Exam System	O V O V R A N P N P V N P O , D V V O N , N & V N , P V $ P D A N P O V O & O V P N , V D P V O V D N V N P O $ N V N A N , U O V D A V N P N V P V N N N
