jQuery and Java applets	^ & ^ N
I'm working on a project where we're using a Java applet for part of the UI ( a map , specifically ) , but building the rest of the UI around the applet in HTML / JavaScript , communicating with the applet through LiveConnect / NPAPI . A little bizarre , I know , but let's presume that setup is not under discussion . I started out planning on using jQuery as my JavaScript framework , but I've run into two issues . Issue the first : Selecting the applet doesn't provide access to the applet's methods . Java : JavaScript : Running the above JavaScript results in $ ( " #applet -id ") . foo is not a function This is in contrast to Prototype , where the analogous code does work : So...where'd the applet methods go ? Issue the second : There's a known problem with jQuery and applets in Firefox 2 : http://www.pengoworks.com/workshop/jquery/bug_applet/jquery_applet_bug.htm It's a long shot , but does anybody know of a workaround ? I suspect this problem isn't fixable , which will mean switching to Prototype . Thanks for the help !	L V P D N R L V D ^ N P N P D ^ , D N , R , , & V D N P D ^ P D N P ^ , ^ , V P D N P ^ , ^ , D A A , O V , & L V D N V R P N , O V T V P V ^ P D ^ N , & L V P $ N , N D R , V D N V V V P D S N , ^ , ^ , V D P ^ N P G , , G G , , C V R D N D V P N P ^ , R D A N V N , G D N N V , N D R , Y D A N P ^ & N P ^ $ , U L D A N , & V N V P D N , O V D N V A , O V V V P ^ , N P D N ,
For the first issue , how about trying For the second issue here is a thread with a possible workaround . Quoting the workaround change that code to :	P D R N , R P V P D R N R V D N P D A N , V D N V D N P ,
How does one record audio from a Javascript based webapp ?	R V $ N N P D ^ V N ,
I'm trying to write a web-app that records WAV files ( eg : from the user's microphone ) . I know Javascript alone can not do this , but I'm interested in the least proprietary method to augment my Javascript with . My targeted browsers are Firefox for PC and Mac ( so no ActiveX ) . Please share your experiences with this . I gather it can be done with Flash ( but not as a WAV formated file ) . I gather it can be done with Java ( but not without code-signing ) . Are these the only options ? @dominic -mazzoni I'd like to record the file as a WAV because because the purpose of the webapp will be to assemble a library of good quality short soundbites . I estimate upload will be 50 MB , which is well worth it for the quality . The app will only be used on our intranet . UPDATE : There's now an alternate solution thanks to JetPack's upcoming Audio API : See https://wiki.mozilla.org/Labs/Jetpack/JEP/18	L V P V D N D V ^ N , G , P D S N , , O V ^ R V R V D , & L A P D R A N P V D ^ P , D V N V ^ P ^ & ^ , P D ^ , , R V D N P D , O V O V V V P ^ , & R P D ^ V N , , O V O V V V P ^ , & R P V , , V O D A N , @ ^ L V P V D N P D ^ P P D N P D N V V P V D N P A N A N , O V V V V $ N , O V R N O P D N , D N V R V V P D N , N , Y R D A N N P Z A N ^ , V U
Maybe you find this useful : https://github.com/milani/microphone.js	R O V D A , U
Flash is going to be your best solution . Hopefully this will help : http://www.kirupa.com/forum/showthread.php?t=17331	^ V V P V D A N , R O V N , U
Yes I believe Flash or a Java-Applet are the only ways to do that . Since you cannot interact with a microphone you must use some sort of browser-plugin , its the only way to use the microphone . I'm not aware of any other plugin that would provide that features . A quick search on Google did not reveal any further possibilities . I think the easiest would be going with Flash .	! O V ^ & D ^ V D A N P V O , P O V V P D N O V V D N P N , L D A N P V D N , L R A P D A N O V V D N , D A N P ^ V R V D A N , O V D A V V V P ^ ,
Your only options are Flash , Java , ActiveX , or writing a custom Firefox extension . Flash is probably your best option - you could write or use an existing Flash app to do the recording and keep almost everything else in pure Javascript . Why do you want a WAV file ? If you're planning to process the actual bits of the waveform on the client , then that's probably a bad idea ; the client might be really slow and you wouldn't be able to really manipulate the file . If you want to send the sound back to the server , then it's much better to send a compressed file , and then uncompress it on the server .	D A N V ^ , ^ , ^ , & V D A ^ N , ^ V R D A N , O V V & V D A ^ N P V D N & V R N R P A ^ , R V O V D ^ N , P L V P V D A N P D N P D N , R L R D A N , D N V V R A & O V V A P R V D N , P O V P V D N N P D N , R L R R P V D V N , & R V O P D N ,
Flash requires you to use a media server ( note : I'm still using Flash MX , but a quick Google search brings up documentation for Flash CS3 that seems to concur - note that Flash CS4 is out soon , might change then ) . Macromedia / Adobe aim to flog you their media server , but the Red5 open-source project might be suitible for your project : http://osflash.org/red5 I think Java is going to be more suitible . I've seen an applet that might do what you want over on Moodle ( an open-source virtual learning environment ): http://64.233.183.104/search?q=cache:k27rcY8QNWoJ:moodle.org/mod/forum/discuss.php%3Fd%3D51231+moodlespeex hl=en ct=clnk cd=1 gl=uk ( membership-required site , but open to Google , hence the link goes to the Google cache page ) .	^ V O P V D N N , N , L R V ^ ^ , & D A ^ N V T N P ^ ^ O V P V , V D ^ ^ V T R , V V R , , ^ , ^ N P V O D N N , & D ^ A N V V G P D N , U O V ^ V V P V A G , L V D N O V V O O V P P ^ , D A A V N , U G G G G , A N , & V P ^ , R D N V P D ^ N N , ,
As of Flash 10 you do not need a media server . You can capture the raw samples and send them to an arbitrary back-end with an HTTP post . https://code.google.com/p/wami-recorder /	R P ^ $ O V R V D N N , O V V D A N & V O P D A A P D ^ N , U ,
You could download Real Producer Basic , which is free here ( http://forms.real.com/rnforms/products/tools/producerbasic ) , and imbed it as an activeX object since it's on your intranet . Flash will embed the same way , it's on all the office workstations , but since this is your Intranet , you could install it on all the machines with AD . Real audio files are very small compared to wav and sound great . Here's a link to the Real Sudio ActiveX how-to guide . http://service.real.com/help/library/guides/activex/producerx.html	O V V A N A , O V A R , U , , & V O P D ^ N P L P D N , ^ V V D A N , L P X D N N , & P D V D N , O V V O P X D N P ^ , A N N V R A V P ^ & R A , L D N P D A G ^ A N , U
This is a paid solution but it will do what you are looking for . http://www.javasonics.com /	D V D A N & O V V O O V V P , U ,
Another solution if you don't mind your users installing a plugin is to use Runtime Revolution RevWeb plugin which supports recording audio in browser ( and is trivial to implement , I made a test applet to confirm this in about 10 minutes ) . http://revweb.runrev.com /	D N P O V V D N V D N V P V A N ^ N O V V N P N , & V A P V , O V D N N P V D P P $ N , , U ,
This is an old thread , but the issue remains relevant . It should be noted that there is a way to record audio to the server in Flash without a proprietary back-end . Here's an example project to get you started : https://code.google.com/p/wami-recorder /	D V D A N , & D N V A , O V V V O X V D N P A N P D N P ^ P D A A , L D N N P V O V , U ,
I'd say this answer is better than the accepted one from 2008 , as it has the same effect but a dedicated server component is not required . It is still not a complete solution as it will not work on Apple mobile devices , which are widespread . Hopefully a reasonable cross platform standard which combines native recording , an open file format and plain HTTP post will emerge soon .	L V D N V R P D A $ P $ , P O V D A N & D A N N V R A , O V R R D A N P O V R V P ^ N N , O V A , R D A N N A O V A N , D A N N & A ^ N V V R ,
Write a Servlet that Talks to JMS ( ActiveMQ ) and OnMessage Update the Site	V D ^ P V P ^ , ^ , & ^ N D N
I am building a site that uses a simple AJAX Servlet to talk JMS ( ActiveMQ ) and when a message arrives from the topic to update the site . I have Javascript that creates an XMLHttpRequest for data . The Servlet processes the Get Request and sends back JSON . However I have no idea how to connect my Servlet into my ActiveMQ Message Broker . It just sends back dummy data right now . I am thinking the Servelt should implement the messagelistener . Then onMessage send data to the JavaScript page . But I'm not sure how to do this .	O V V D N P V D A ^ ^ P V ^ , ^ , & R D N V P D N P V D N , O V ^ O V D ^ P N , D ^ V D N N & V T ^ , R O V D N R P V D ^ P D ^ N ^ , O R V R A N R R , O V V D G V V D ^ , R ^ V N P D ^ N , & L R R R P V D ,
You probably need to get a JMS connection from JNDI , like this :	O R V P V D ^ N P ^ , P D ,
Okay ... this is a good way to connect to my Topic , thanks . I already have code like this is another Java Client . But I want the Servelt to implement the messagelistener . Then onMessage send data to the Javascript page .	A , O V D A N P V P D N , N , O R A N P D V D ^ N , & O V D G P V D ^ , R ^ V N P D ^ N ,
