How to Cross-Compile Java Source Code to JavaScript ?	R P V ^ N N P ^ ,
Given a set of Java source code files , how can I compile them into one or more JavaScript files that can be used with hand-crafted JavaScript ? GWT is one option , but every example I've seen so far is aimed at building fancy websites . The simple use case of just converting Java source to Javascript that can be used together with handcrafted JavaScript hasn't been well-documented . I started a thread on the GWT mailing list on this subject , but opinions seem to be mixed on whether this is even feasible . One person gave a very useful tip , which was to check out GWT-Exporter . The problem is that neither source code nor documentation is readily available , although there's this and this . edit : GWT-Exporter source code is here I've also seen Java2Script . But again , I wasn't able to find examples of how to solve my simple use case . What's the best approach to this problem ? Is there something better I'm missing ?	V D N P ^ N N N , R V O V O P $ & A ^ N O V V V P A ^ , ^ V $ N , & D N L V R R V V P V A N , D A N N P R V ^ N P ^ O V V V R P V ^ V V V , O V D N P D ^ N N P D N , & N V P V V P P D V R A , $ N V D R A N , O V P V T ^ , D N V P D N N & N V R A , P Y D & D , V , ^ N N V R L R V ^ , & R , O V A P V N P R P V D A N N , L D A N P D N , V R N R L V ,
This question discusses a very similar topic : compiling Java libraries to JavaScript using GWT . http://stackoverflow.com/questions/3125556/gwt-to-create-utility-javascript-library	D N V D R A N , V ^ N P ^ V ^ , U
Very thorough question . You did a great job expressing what you'd explored already . Nicely done .	R A N , O V D A N V O L V R , R A ,
You can try using Scala-js https://github.com/lampepfl/scala-js for your java project - java / scala interoperability http://www.scala-lang.org/old/faq/4 )	O V V V ^ ^ P D ^ N , ^ , ^ N U ,
When you use GWT , you're basically converting the UI portion into Javascript ( and it assumes that you use the UI widgets provided when you write your Java ) . Only some of the Java libraries are accessible within Javascript . Typically in a GWT application anything that makes heavy use of Java libraries would run on the server side and connect to the Javascript as AJAX ( which GWT handles for you ) . So GWT isn't necessarily converting your full application into Javascript ( though it can if you're willing to limit your use of Java libraries and some functionality ) . At any rate , if this approach ( calling out to Java running on a server from within Javascript ) appeals to you , one nice option is DWR , which basically allows your Javascript to directly call methods in Java classes running on the server ( without you having to build a web service or other frontend ) . Not what you asked , I know . More relevantly , it looks like there's source code for a sample app demonstrating the use of gwt-exporter .	R O V ^ , L R V D ^ N P ^ , & O V P O V D ^ N V R O V D ^ , , R D P D ^ N V A P ^ , R P D ^ N N O V A N P ^ N V V P D N N & V P D ^ P ^ , D ^ V P O , , P ^ V R V D A N P ^ , P O V P L A P V D V P ^ N & D N , , P D N , P D N , V T P ^ V P D N P P ^ , V P O , $ A N V ^ , O R V D ^ P R V N P ^ N V P D N , P O V P V D N N & A N , , R O O V , O V , A N , O V P S N N P D N ^ V D N P ^ ,
This would be for a fairly small , non-gui java library . I hadn't seen DWR , which looks like it could be very useful for larger projects . I Didn't even see the source directory for the gwt-exporter project - thanks for pointing it out . That looks promising .	D V V P D R A , ^ ^ N , O V V ^ , O V P O V V R A P A N , O V R V D N N P D ^ N , N P V O T , O V V ,
gwt-exporter link is dead	^ N V A
Here's a new link to the sample app : http://code.google.com/p/gwt-exporter/source/browse/trunk/samples/src/main/java/exporterdemo/public/ExporterDemo.html	L D A N P D N ^ , U
The new link is also dead . :/	D A N V R A , E
And here's a new link : https://code.google.com/p/gwt-exporter/source/browse/samples/exporterdemo/src/main/java/exporterdemo/public/ExporterDemo.html	& L D A N , U
Also , here's a link to the project home of gwt-exporter -- that's less likely to change ( the sample app changes location when they change their directory format ): https://code.google.com/p/gwt-exporter /	R , L D N P D N N P ^ , L A R P V , D N ^ N N R O V D N N , U ,
Also you can use QWT It has Java2JavaScript compiler on the board .	R O V V ^ O V ^ N P D N ,
java and javascript callbacks compared	^ & ^ N V
It seems I don't understand javascript callbacks quite as well as I thought . In the following example , I would think that each copy of function in setTimeout would refer to its own copy of the variable " index " . Therefore , running the example should produce the following alerts : " zero " " one " " two " . However , it seems that theres only one copy of the index variable , and all copies of the callback function point to the same variable , giving me the following alerts : " two " " two " " two " . The following analagous ( I thought ) example in java prints " zero " " one " " two " , as expected . Can anyone explain to me why the js example doesn't work , and perhaps compare what's going on in the two examples ?	O V O V V ^ N R R R P O V , P D N N , O V V P D N P N P ^ V V P L A N P D A , N , , R , V D N V V D N V , , $ , , $ , , $ , , R , O V P O A $ N P D N N , & D N P D N N N P D A N , V O D N N , , $ , , $ , , $ , , ^ V A , O V , N P ^ V , $ , , $ , , $ , , P V , V O V P O R D ^ N V N , & R V L V P P D $ N ,
Have you seen : http://stackoverflow.com/questions/442985/how-can-one-de-reference-javascript-variables-when-enclosing-an-outer-scope	V O V , U
Prestaul , thank , that's pretty much my same question . I looked for similar questions before I posted but didn't find this one .	^ , V , L R A D A N , O V P A N P O V & V V D $ ,
I asked [ an almost identical][1 ] question yesterday and got a couple of different variations in the answers and some discussion on the merits of each . Might be worth a look [ 1 ]: http://stackoverflow.com/questions/442985/how-can-one-de-reference-javascript-variables-when-enclosing-an-outer-scope	O V , D R G , N N & V D N P A N P D N & D N P D N P D , V V V D N , $ , U
index changes with each iteration of the loop . What you want is to place index into a closure not affected by the loop :	N V P D N P D N , O O V V P N N P D N R V P D N ,
Thanks . I guess I thought that each iteration of the for loop would create a closure .	N , O V O V P D N P D P N V V D N ,
Well yes , technically I left that part out . There * is * a closure around index . But it is declared in an outer scope to the function passed to setTimeout . " closure " ! = " unchanging variable " .	! ! , R O V D N P , X , V , D N P N , & O V V P D A N P D N V P ^ , G G G G G G G G G ,
Cool . One more question : why does the function declaration need to be wrapped in parens ?	A , $ A N , R V D N N V P V V P ^ ,
@morgancodes : that's just convention ; also , there might be some cases where the parser might otherwise produce incorrect results	@ , L R N , R , X V V D N R D N V R V A N
Firefox tells me there's a syntax error if I leave them out .	^ V O Y D N N P O V O T ,
closures in javascript ( references to variables outside the function ) retain their association ... if you refer to a loop variable in a function called after the loop ends , in the function call you get the value of that variable after the loop .	N P ^ , N P N P D N , V D N , P O V P D N N P D N V P D N N , P D N V O V D N P D A P D N ,
the function call / parens / etc create a copy of the value " i " into the variable " index " , at the time of each iteration of the loop .	D N V , N , ^ V D N P D N G G G P D A G G G , P D N P D N P D N ,
In javascript the for loop does not have it's own scope - so a var you create inside a loop is not different from one defined outside of it .	P ^ D P N V R V L A N , P D N O V P D N V R A P $ A N P O ,
Private Members In JavaScript is my favorite reference on closures . It is written as a recipe for providing private variables in JS objects ( maybe useful , maybe not ) but in the process goes through an excellent introduction of how closures work in general , and especially in JS . The comp.lang.javascript FAQ has a worthwhile section on closures as well . Closures can be confusing so I put together a working example of the shortest useful closure I've come across , which was in the Rhino book . Oh and I don't have enough rep to comment yet :) but I saw your question above about why you have to put parenthesis around functions sometimes . That's only necessary when you invoke an anonymous function inline . For example the parenthesis are required here : Because you are creating a function and then immediately invoking it . But the parens are not necessary in the usual case where you are just declaring a named function for later use .	A N P ^ V D A N P N , O V V P D N P V A N P ^ N , R A , R R , & P D N V P D A N P R N V P A , & R P ^ , D ^ ^ V D A N P N P R , O V V A P O V R D V N P D R A N L V P , O V P D ^ N , ! & O V V A ^ P V R E & O V D N P P R O V P V N P N R , L R A R O V D A N N , P N D N V V R , P O V V D N & R R V O , & D N V R A P D A N R O V R V D V N P R V ,
Thanks Noah . that rhino book example is cool .	N ^ , D ^ N N V A ,
String length differs from Javascript to Java code	N N V P ^ P ^ N
I've got a JSP page with a piece of Javascript validation code which limits to a certain amount of characters on submit . I'm using a textarea so I can't simply use a length attribute like in a input type= " text " . I use document.getElementById ( " text ") . value.length to get the string length . I'm running Firefox 3.0 on Windows ( but I've tested this behavior with IE 6 also ) . The form gets submitted to a J2EE servlet . In my Java servlet the string length of the parameter is larger than 2000 ! I've noticed that this can easily be reproduced by adding carriage returns in the textarea . I've used Firebug to assert the length of the textare and it really is 2000 characters long . On the Java side though , the carriage returns get converted to UNIX style ( rn , instead of n ) , thus the string length differs ! Am I missing something obvious here or what ? If not , how would you reliably ( cross-platform / browser ) make sure that the textarea is limited .	L V D ^ N P D N P ^ N N D N P D A N P N P V , L V D N P O V R V D N V V P D N N , N , , O V ^ G G G G , ^ P V D N N , L V ^ $ P ^ , & L V D N P ^ $ R , , D N V V P D ^ N , P D ^ V D N N P D N V R P $ , L V P D V R V V P V N V P D N , L V ^ P V D N P D N & O R V $ N R , P D ^ N P , D N N V V P ^ N , N , R P ^ , , R D N N V , V O V R A R & O , P R , R V O R , E E E , V A P D N V A ,
@Fran ois : Always enclose things in tag brackets in back-ticks ( e.g. format them as code ) , or they will be stripped out on display of your question .	@ ^ , R A N P N N P ^ , N N O P N , , & O V V V T P V P D N ,
just stumbled across such situation . your topic made my day , sir ! thanks a lot !	R V P A N , D N V D N , N , V D N ,
Do you particularly care which line-endings are used ? Why not just make the Java convert " rn " to " n " ? ( Note that " rn " is the Windows style ; " n " is the Unix style . ) Alternatively , do the reverse when checking the length within the JavaScript .	V O R V D N V V , R R R V D ^ V , N , P , N , , , V O , N , V D ^ N , , N , V D ^ N , , R , V D N R V D N P D ^ ,
OK . I get it . I guess that means that Javascript always represents carriage returns the UNIX way internally and through its APIs ( i.e. ` length() `) . Somehow I gets converted to ` rn ` because the Java VM is running on Windows . I wish it was more uniform ...	A , O V O , O V O V D ^ R V N V D ^ N R & P D ^ , ^ , ^ , , R O V V P , G , P D ^ ^ V V P ^ , O V O V A N ,
+1 , normalizing sounds good here	$ , V V A R
I don't know what rules different browsers on servlet engines will apply , but normalization should remove the differences either way . Btw , it's worth trying on macs too , where r is the normal linebreak .	O V V O V A N P D N V V , & N V V D N & N , ! , L V V P ^ R , R G V D A N ,
+1 Just remove all " r " and everybody will be happy , whatever platform you are using . Macs included .	$ R V R , G , & N V V A , D N O V V , ^ V ,
Are you limiting it to 2000 chars so it fits inside an nvarchar ( 2000 ) column in a database ? Otherwise maybe just allow a 2% overrun to be flexible on the Java side . And Java should be using Unicode UTF16 to represent Strings . That / r must have got in there somewhere else , maybe a conversion in the web browser when submitting ? Have you tried different browsers ? On different platforms ? You might just have to strip out the / r s .	V O V O P $ N P O V P D ^ , $ , N P D N , R R R V D $ N P V A P D ^ N , ^ ^ V V V ^ ^ P V ^ , O , V V V V T R R R , R D N P D N N R V , V O V A N , R A N , O V R V P N P D G G G ,
This isn't really a JavaScript ( or Java ) problem - both layers report an accurate length for the string they are dealing with . The problem in your case is that the string gets transformed during the HTTP transmission . If you absolutely must ensure that the string doesn't exceed a certain length , you can mimic this transformation on the client by replacing every instance of " n " with " nr " - but only for length verification purposes :	D V R D ^ , & ^ , N , D N V D A N P D N O V V P , D N P D N V P D N V V P D ^ N , P O R V V P D N V V D A N , O V V D N P D N P V D N P , G , P , G , , & R P N N N ,
Note : The code should be ` textarea.value.replace (/ n / g , " nr ") . length ` to find all occurrences . The original code only looks for the first match .	N , D N V V , ^ G G G G G G G G , N , P V D N , D A N R V P D A N ,
Thanks . Fixed it .	N , V O ,
It should be `" rn "` , not `" nr "` .	O V V G G G , R G G G ,
To remember that the right order is ` rn ` , remember ` r ` stands for Carriage ? eturn ( ` Cr `) and ` n ` stands for ( ? ew ) Line Feed ( ` Lf `) in ` CrLf ` .	P V P D A N V , G , , V , G , V P N , G , , G , & , G , V P , , G , N V , , G , P , G , ,
I think you need to do the line ending conversion / check on both client and server because you don't know what line endings the client browser is going to use ( Firefox submits n even on Windows ) and if you develop server side on Windows and deploy on Linux then the line endings will be handled differently .	O V O V P V D N V N , V P D N & N P O V V D N N D N N V V P V , ^ V , R P ^ , & P O V N N P ^ & R P ^ R D N N V V V R ,
Lobo Cobra HtmlPanel does not update GUI after JavaScript action	^ ^ ^ V R V ^ P ^ N
HI , I started implementing a HTML Browser in Swing . I want to use the Lobo Cobra toolkit because this toolkit inclused a renderer and parser for CSS and JavaScript . The pages are looking very nice and it is easy to use ( one class implementation to show a html page ) . I want to show HTML pages in swing which can show javascript generated and modified objects , like a flashing circle . As far as i know , the cobra toolkit can show static javascript commands like ' document.write ' or closwWindow() implementations , but not updating the GUI from a JavaScript . Did someone works with Lobo Cobra Toolkit before and give me some sample code or tips for showing HTML pages with animated JavaScript objects inside .	! , O V V D ^ N P ^ , O V P V D ^ ^ N P D N V D N & N P ^ & ^ , D N V V R A & O V A P V , $ N N P V D ^ N , , O V P N ^ N P ^ O V N ^ V & A N , P D N N , R R P O V , D ^ N V V A ^ N V , ^ , & ^ N , & R V D ^ P D ^ , V O V P ^ ^ ^ P & V O D N N & N P V ^ N P V ^ N P ,
I'm under the impression that , as long as you set yourself up for notifications , your code will be called for all changes to the DOM whether done on page load or dynamically by Javascript following the page load . I would initially set up an object ( X ) implementing the DocumentNotificationListener interface and log a message for every method called . Then set that up as a listener with Y.addDocumentNotificationListener ( X ) [ where Y is your HTMLDocumentImpl object ] and load up your page to see which methods are actually called . Worst case is that you'll have to re-render your HTML page on every method call , but you should be able to optimize most of them . For example , changing colors of a node ( DOM object ) , which results in the X.lookInvalidated ( ... ) being called , wouldn't require re-rendering of the whole page as the node size doesn't change .	L P D N P , R R P O V O T P N , D N V V V P D N P D ^ P V P N N & R P ^ V D N N , O V R V T D N , G , V D ^ N & V D N P D N V , R V D T P D N P ^ , G , G R N V D ^ N , & V P D N P V D N V R V , A N V P L V P V D ^ N P D N V , & O V V A P V R P O , P N , V N P D N , ^ N , , D N P D ^ , G , V V , V V V P D A N P D N N V V ,
Returning JSON in GWT	V ^ P ^
I'm still pretty new to JSON and GWT and I'm trying to figure out how to pass JSON data back from a page into my GWT app . I pass the JSON back to a class : It's pretty basic and not complete at this moment so I'm just trying ( for now ) to make sure I can get something back . The code to call this is : However I get an error : No source code is available for type XYZ.GetProductTree ; did you forget to inherit a required module ? I am importing the correct package for XYZ.GetProductTree on the call page . What am I missing ?	L R R A P ^ & ^ & L V P V T R P V ^ N N P D N P D ^ ^ , O V D ^ N P D N , L R A & R A P D N P L R V , P R , P V R O V V O N , D N P V D V , R O V D N , D N N V A P N ^ , V O V P V D A N , O V V D A N P ^ P D N N , O V O V ,
This error is from the compiler , complaining that it can't find that type in it's classpath . For the GWT compiler to find your classes they have to be and in your classpath , and they have to be referenced in a . gwt.xml module file as well . Can you post your package names and the contents of your . gwt.xml files ? My guess is that wherever you have put this class it's not visible to the GWT compiler .	D N V P D N , V P O V V D N P L N , P D ^ N P V D N O V P V & P D N , & O V P V V P D , ^ N N P R , V O V D N N & D N P D , ^ N , D N V O R O V V D N L R A P D ^ N ,
I am so obtuse sometimes . I forgot about having to add the source path for my new package . I added this to a " data " package which I just created and didn't add the path to the XML . Thanks :)	O V P O R , O V P V P V D N N P D A N , O V D P D , N , N D O R V & V V D N P D ^ , ! E
Is it possible to obtain a web-browser's Java VM without using an applet ?	V O R P V D S ^ ^ P V D N ,
We have an ages old Java applet that we want to move forward to a newer version of Java ( 5 or 6 ) , however until today we've always supported people using Java VMs as far back as version 1.1 ( specifically for those still using the Microsoft VM ) As part of the upgrade , we'd like to be able to serve a web page to people using out-of-date VMs telling them which versions we now support and where they can download them from . Ideally we want to do this without having to serve a Java 1.1 applet first just to determine the JVM version . Answers to either of the following ( with code samples if possible ) would be appreciated : Question 1 : is it possible to determine the JVM in a script on the server using information from the HTTP headers ? Question 2 : is it possible to determine the information on the client using just JavaScript ?	O V D N A ^ N P O V P V R P D A N P ^ , $ & $ , , R P N L R V N V ^ ^ R R R P N $ , R P O R V D ^ ^ , P N P D N , L V P V A P V D N N P N V N ^ V O D N V R V & R O V V O P , R O V P V D P V P V D ^ $ N R R P V D ^ N , N P D P D N , P N N P A , V V V , N $ , V O R P V D ^ P D N P D N V N P D ^ N , N $ , V O R P V D N P D N V R ^ ,
Q1 : no Q2 : yes , but I don't know how portable that is : That outputs a table of all plugins , versions should be contained . I think you have to loop over all the plugins , check if ' java ' is contained in the name and then parse the version from description ...	N , D N , ! , & O V V R A O V , O N D N P D N , N V V A , O V O V P N P X D N , V P , ^ , V V P D N & R P D N P N ,
Up-voted for the short , but sweet , answer to Q1 - that's what I thought . Unfortunately , Q2 doesn't appear to port as far as IE6 - mine's getting navigator.plugins.length as 0 :-(	V P D A , & A , N P N , L D O V , R , N V V P N P R P ^ , L V ^ P $ E
A german website says it is supported in JavaScript 1.1 , Netscape 3.0 , Opera 5.12 , Firefox 1.0 , Konqueror 3.1 , Safari 1 and higher and ( exactly ) IE for Mac 5.0 :-( . Perhaps any of all these JS libs has something for that ...	D ^ N V O V V P ^ $ , ^ $ , ^ $ , ^ $ , ^ $ , ^ $ & R & , R , ^ P ^ $ E , R D P X D ^ ^ V N P D ,
There is a deployment toolkit for doing this sort of thing . Serving an applet shouldn't be too bad . It can either be a 1x1 pixel bug , or use your normal applet with a small 1.1 class that forwards the applet lifecycle methods if it can load your 1.5 code . Nobody should still be using 1.1 . It hasn't had security bugs fixed in it for years .	X V D N V P V D N P N , V D N V V R A , O V R V D $ N N , & V D A N P D A $ N P R D N N N P O V V D $ N , N V R V V $ , O V V N N V P O P N ,
We actually already serve an applet to determine the VM as we have two versions , one of which works around bugs in MS JVM ( but doesn't work on Sun ) and one of which is the other way round . The powers that be think this approach is too clunky going forward , so I'm tasked with looking for another way .	O R R V D N P V D ^ P O V $ N , $ P O V P N P ^ ^ , & V V P ^ , & $ P O V D A N N , D N O V V D N V R A V R , P L V P V P D N ,
Oh , and just because nobody * should * be using 1.1 , this does not mean none of our customers * are * using 1.1 , unfortunately :-(	! , & R P N , V , V V $ , O V R A N P D N , V , V $ , R E
This script seems to do the trick on all major browsers : http://www.pinlady.net/PluginDetect/JavaDetect.htm	D N V P V D N P D A N , U
Seems quite complex considering it might run an applet anyway for its " NOTF " approach ; we might as well just go straight to that option . Plus I'm not sure I want to run code written by someone who uses the idiom " Java142Installed = Java142Status == 1 ? true : false "	V R A V O V V D N R P L , ^ , N , O V R R R V R P D N , A L R A O V P V N V P O O V D N , ^ = ^ = $ , C , C ,
Well , I have to admit I didn't go beyond testing it actually worked .	! , O V P V O V V P V O R V ,
I think the deployment toolkit might do what you want . Use the runApplet() function in deployJava to ensure that a minimum Java Runtime Environment is available on a client machine before launching the applet .	O V D N N V V O O V , V D ^ N P G P V P D A ^ ^ N V A P D N N P V D N ,
