Is it possible to use JSTL to display a date in the client's timezone ?	V O R P V ^ P V D N P D S N ,
In Javascript , I have this function to display the current date on our page header : I would like to do this via JSTL , but I'm not sure if it's possible . So far , I have this fragment of code : Because the date is now being created on the server , it may not represent the client's date . I believe that I can set the timeZone attribute of the formatDate function , but I'm unsure how to grab the client's timezone . Can somebody offer a suggestion ? Thanks !	P ^ , O V D N P V D A N P D N N , O V V P V D P ^ , & L R A P L A , P R , O V D N P N , P D N V R V V P D N , O V R V D S N , O V P O V V D N V P D ^ N , & L A R P V D S N , V N V D N , N ,
All the information the server has is in the HTTP request which doesn't contain any info regarding time or timezone . So you have two options : Using a cookie you can store the timezone and then retrieve it in the server-side . The problem here is that you have to wait for the second request to use the timezone value . Using AJAX , with javascript and a XMLHttpRequest object you can push ' new Date() . getTimezoneOffset() ' value to the server , store it in a session var Maybe any of the options are too much if you just want to display time zone	X D N D N V V P D ^ V O V V D N V N & N , P O V $ N , V D N O V V D N & R V O P D N , D N R V P O V P V P D A N P V D N N , V ^ , P ^ & D ^ N O V V , C ^ , ^ , N P D N , V O P D N C R R P D N V R A P O R V P V N N
That's certainly a creative idea , but more complicated than the SCRIPT I currently have ...	L R D A N , & R A P D N O R V ,
Yes , I poster this answer just if knowing the timezone is critical . All the information the server has is in the HTTP request which doesn't contain any info regarding time or timezone , so I guess it is impossible to know it if not using AJAX or a cookie	! , O V D N R P V D N V A , X D N D N V V P D ^ V O V V D N V N & N , P O V O V A P V O P R V ^ & D N
The only way I can see of doing this without asking the user for some information is to format the date with javascript . Not exactly the prettiest solution , I might add Alternately , you might consider displaying the time zone in the formatted date . This way , the user at least knows what time zone you're using .	D A N O V V P V D P V D N P D N V P N D N P ^ , R R D A N , O V V R , O V V V D N N P D A N , D N , D N P R V D N N L V ,
How to load . js files into a Rhino context in Java	R P N G ^ N P D ^ N P ^
Are you aware that Rhino ships in Java 6 ? If you want to use it with Java 5 , you'll have to download the API separately . You can get engines for many popular scripting languages from scripting.dev.java.net .	V O A D ^ N P ^ $ , P O V P V O P ^ $ , L V P V D ^ R , O V V N P A A N N P U ,
" You can get engines for many popular scripting languages from scripting.dev.java.net . " No , we can't anymore . I know this is extremely old , but is there a newer link we should use ?	, O V V N P A A N N P U , , ! , O V R , O V D V R A , & V R D A N O V V ,
@hexafraction Try this question : http://stackoverflow.com/questions/11838369/where-can-i-find-a-list-of-available-jsr-223-scripting-languages	@ V D N , U
+1 Thanks , that and the web archive have [ helped] ( http://web.archive.org/web/20070610234337/https://scripting.dev.java.net/) , since the latter is just a bag of links , really .	$ N , O & D N N V G G , U , P D N V R D N P N , R ,
Trouble accessing Java classes from Firefox extension's Javascript	N V ^ N P ^ S ^
you are incorrectly invoiking the method using ; which is passing an argument of type java.lang.Class [] into the signature that is expecting a String object . simply pass the parameters object in as it is .	O V R G D N V , O V V D N P N ^ ^ P D N P V V D ^ N , R V D N N P P O V ,
public Method getMethod ( String name , Class ... parameterTypes ) throws NoSuchMethodException , SecurityException I guess he's right in that .	^ N ^ , C C , C , C , ^ ^ , ^ O V L R P O ,
now I get this exception : InternalError : Unable to convert JavaScript value to Java value of type java.lang.Class []	R O V D N , ^ , A P V ^ N P ^ N P N ^ ^
try changing the two reflecting lines to ; var aStaticMethod = aClass.getMethod ( " main " , parameters.getClass() ); // gets the main ( String [] args ) method , here I get the exception * var myJava = aStaticMethod.invoke ( null , parameters ); removing the [] initializers since they already seem to have been created by the reflection call .	V V D $ A N P G G G = G G G G G , G G E V D N , N E E , N , R O V D N , G G G G , G , G G V D = N P O R V P V V V P D N N ,
new error : There is no Java method java.lang.Class.getMethod that matches JavaScript argument types ( string , object ) . Candidate methods with the same name are : java.lang.reflect.Method getMethod ( java.lang.String , java.lang.Class [] )	A N , X V D ^ N ^ O V ^ N N , N , N , , N N P D A N V , ^ ^ , ^ , ^ = ,
assuming your complete class name is " your.package.Firefox " you could do :	V D A N N V , G , O V V ,
how do I set the " args " value ?	R V O V D , N , N ,
ReferenceError : importPackage is not defined	^ , ^ V R A
in " plain " rhino this is supposed to work sorry :(	P , A , ^ D V A P V A E
Hi , just following-up DFA's comment : Related info :: https://developer.mozilla.org/en/Core_JavaScript_1.5_Guide/LiveConnect_Overview/JavaScript_to_Java_Communication	! , R A Z V , V P , U
I've already tried out all stuff from developer.mozilla.org , with no success ...	L R V T D N P U , P D N ,
unEscape JavaScript escaped value in JAVA	A ^ V N P ^
in our web service we set a cookie through JavaScript wich we read again in Java ( Servlet ) however we need to escape the value of the cookie because it may contain illegal characters such as ' ' which messes up the cookie . is there a transparent way to escape ( JavaScript ) and unescape again ( JAVA ) for this ? thanks , Pieter Goddijn	P D N N O V D N P ^ ^ O V R P ^ , N , R O V P V D N P D N P O V V A N R R , , D V P D N , V R D A N P V , ^ , & L R , ^ , P D , N , ^ ^
Define " transparent way " .	V , A N , ,
In java you got StringEscapeUtils from Commons Lang to escape / unescape . In Javascript you escape through encodeURIComponent , but I think the Commons component I gave to you will satisfy your needs .	P ^ O V ^ P ^ ^ P V , V , P ^ O V P ^ , & O V D ^ N O V P O V V D V ,
If you want to decode from encodeURIComponent see here http://stackoverflow.com/questions/607176/java-equivalent-to-javascripts-encodeuricomponent-that-produces-identical-outpu	P O V P N P ^ V R U
Client JavaScript / ECMAScript : Server Java : I'll add further discoveries to my blog entry .	N ^ , ^ , N ^ , L V A N P D N N ,
The most accurate way would be to Excecute javascript withing your java code . Hope the code below helps .	D R A N V V P ^ ^ P D N N , V D N P V ,
JSF Richfaces frontend performance tuning	^ ^ N N V
I've developed a web application using MyFaces 1.2 . 6 and Richfaces 3.3 . 1GA ( just upgrated ) . Despite the ease of use , I found out that Richfaces components are very slow . I also found out that they didn't really take advantage of the browser caching mechanism , they keep sending some lousy JS file every request and other things . I really would like to apply some rules described in the " High PErformance WEbsites " book , but I can't change de generated js and HTML code . Does anyone have some tips for frontend performance tuning using Richfaces ? Thanks .	L V D N N V ^ $ , $ & ^ $ , G , R A E , P D V P V , O V T D ^ N V R A , O R V T D O V R V N P D N V N , O V V D A ^ V D N & A N , O R V V P V D N V P D , A N N , N , & O V V O V ^ & ^ N , V O V D N P N N V V ^ , N ,
Have a read of this article . Are you using Firebug + YSlow to check what is being stored in the cache ? Using the web.xml org.richfaces.LoadScriptStrategy setting , you can tell Richfaces to either : Load all script in one file . Load no scripts ( you do it yourself instead - eg . in the manner prescribed by your book ) . Load scripts when needed ( the default ) . But some basic principles : Never put logic into your getters . They are called multiple times and should only return something already populated by another method . For example if you are chaining drop-downs together use an a4j : support tag on the first one with an action attribute that loads the data which is then retrieved when you reRender the second one . Use the ajaxSingle= " true " unless you actually want to send the whole form back to the server . Don't use a rich component if you only need a normal one . For example don't use rich :d ataTable unless you are making use of some of the features that it has over and above h :d ataTable .	V D V P D N , V O V ^ & ^ P V O V V V P D N , V D ^ ^ V , O V V ^ P D , V D N P $ N , V D N , O V T O R , G , P D N V P D N , , V N R V , D N , , & D A N , R V N P D N , O V V A ^ & V A N N R V P D N , P N P O V V N R V D ^ , N N P D A $ P D N V D N D N O V R V R O V D A $ , V D G , A , P O R V P V D A N N P D N , V V D A N P O R V D A $ , P N V V A G G P O V V V P D P D N P O V R & P G G G ,
+1 . And this is a second article by Dan Allen ( he is the author of both articles , and author of Seam in Action ): http://www.jsfcentral.com/articles/speed_up_your_jsf_app_2	$ , & D V D A N P ^ ^ , O V D N P D N , & N P ^ P N , U
You can use : org.ajax4jsf.DEFAULT_EXPIRE 31536000 So that all js , css files ( generated by richfaces ) are cached for 1 year on the browser . This really improved speed in our project . Also , we do not need to worry about if we change richfaces version as when we change richfaces version it will generate different files .	O V V , ^ $ P D X ^ , ^ N , V P ^ , V V P $ N P D N , D R A N P D N , R , O V R V P V P P O V ^ N P R O V ^ N O V V A N ,
To add on to Damo , you can also add a small filter to cache such js or images to improve the performance . But exert caution in doing this , if files intended to cach involve frequent updates .	P V P P ^ , O V R V D A N P N A ^ & N P V D N , & V N P V D , P N V P G V A N ,
Sending MIDI messages in a Web page	V ^ N P D N N
Java is still probably going to be your best bet , even with the few users disabling it . I use NoScript , and I can whitelist a site . I would say that most users would probably do the same if you provide compelling content .	^ V R R V P V D A N , R P D A N V O , O V ^ , & O V V D N , O V V D A N V R V D A P O V V N ,
Found the following ( translated from Italian ) . I'd say Flash is the way to go . If you want to be ghetto you can just get 88 or so piano samples and play them against a timeline . http://translate.google.com/translate?prev=hp hl=en js=n u=http%3A%2F% 2Fflash.html.it %2Fguide%2Flezione%2F2936%2Fmidi-player%2F sl=it tl=en history_state0=	V D N , V P ^ , , L V ^ V D N P V , P O V P V N O V R V $ & P N N & V O P D N , U G G G G G G G G
Which to learn first Java or javascript ?	O P V R ^ & ^ ,
With the intent on becoming fluent on both to do a mix of web and application coding . Would one facilitate learning the other ?	P D N P V A P $ P V D N P N & N N , V O V V D O ,
They are only loosely related one doesn't really feed into the other as much as one might think . Don't let the names fool you .	O V R R A N V R V P D A P A P O V V , V V D N V O ,
Java and JavaScript have just the similar name in common . Besides that , they are absolutely different .	^ & ^ V R D A N P N , P O , O V R A ,
Good points , @Copas and @Gumbo , but if one starts with 0 programming knowledge one does need to start _some_where ;-) .	A N , @ & @ , & P O V P $ N N N V V P V G E ,
You might make this CW because it doesn't really have an answer .	O V V D ^ P O V R V D N ,
like the joke goes : java : javascript :: car : carpet .	P D N V , ^ , ^ E N , N ,
@Lucas , I agree , should be a CW .	@ , O V , V V D ^ ,
It depends on which one ( websites or programs ) that you want to make first . If you do want to make websites your not going to get to far with just JavaScript and HTML ( think about using JQuery ) . You might also want to learn ASP.NET , it will allow you to use C# ( very similar to Java ) to make rich websites with code that can run on the server and HTML / JavaScript to be displayed to the user . If you want to make programs look into Java or C# . I learned HTML -> JavaScript -> BASIC -> C++ -> C# -> ASP.NET . I started with websites then learned programming and in turn went back to making websites using C# as my programming language .	O V P D $ , N & N , P O V P V R , P O V V P V N D R V P V P R P R ^ & ^ , V P V ^ , , O V R V P V ^ , O V V O P V ^ , R A P ^ , P V A N P N O V V P D N & ^ , ^ P V V P D N , P O V P V N V P ^ & ^ , O V ^ = ^ = ^ = ^ = ^ = ^ , O V P N R A N & P V V R P V N V ^ P D N N ,
He does say he means to learn both , just wants tips on " which one _first_ " ...	O V V O V P V $ , R V N P , D $ N , ,
@Alex : I updated my answer to reflect his real question . Thanks .	@ , O V D N P V D A N , N ,
@Lucas : good points , though I disagree that " you won't get far " with Javascript ( and HTML and CSS ) , these days -- guess I'll add a note to my answer to that effect .	@ , A N , P O V O , O V V R , P ^ , & ^ & ^ , , D N , V L V D N P D N P D N ,
@Alex : What I meant by that was he wouldn't be able to do anything that must run on the server using JavaScript .	@ , O O V P O V O V V A P V V O V V P D N V ^ ,
+1 Good answer , plus great links .	$ A N , & A N ,
Wow , I didn't even know SSJS existed :-O	! , O V R V ^ V E
Beyond some of the basic syntax , they are not very similar at all . Go with whichever you find most interesting first .	P D P D A N , O V R R A P X , V P O O V R A R ,
Those two are very different techonologies . They have similar C-like syntax , but thats all that they have in common . Go for JavaScript if you want to make websites and Java if you want desktop / enterprise appliactions .	O $ V R A N , O V A A N , & L R P O V P N , V P ^ P O V P V N & ^ P O V N , N N ,
What do you want to be able to do first ? There are any number of languages which could be a first language and it really depends on what you want to do .	O V O V P V A P V R , X V D N P N O V V D A N & O R V P O O V P V ,
Apart from some superficial syntax and the name , the two have very little in common as languages . That being said , you can write useful ( if not very " modern ") webapps without JavaScript , but not without a server-side language like Java , so it might be better to start on that side ; it's also the overall more complex one , since it includes database access . Then again , there is Server-side JavaScript which would allow you to do everything in one language , but it's not a very common choice .	V P D A N & D N , D $ V R A P N P N , O V V , O V V A , P R R , A ^ N P ^ , & R P D A N P ^ , P O V V R P V P D N , L R D R R A $ , P O V N N , R R , X V N ^ O V V O P V N P $ N , & L R D A A N ,
Java first , because you will be learning better programming habits that will be useful whatever second language you want to learn after . And it's less traumathic to make the transition from a static type system to a dynamic one than the reverse .	^ R , P O V V V A N N O V V A R A N O V P V P , & L A N P V D N P D A N N P D A $ P D N ,
I would recommend start with Java . It would give you good basics in programming . With Java knowledge you can learn JavaScript , C# and other languages more easily . I don't think that would be the case if you would start with javascript .	O V V V P ^ , O V V O A N P V , P ^ N O V V ^ , ^ & A N R R , O V V O V V D N P O V V P ^ ,
Yeah , I wondered about the name coincidence . I guess I ll let the project dictate which one gets the most focus . You are correct about the infrastructure needs ( jvm vs web ) that each needs . Thanks y all	! , O V P D N N , O V O V V D N V D N V D A N , O V A P D N V , ^ P N , P D V , N G X
Naming is not a coincidence . It was a marketing decision . And JavaScript and Java are more similar than they might have been . The C syntax wasn't something Brendan Eich started with . He did make the language more Java-like as a result of the desire to have a " Java-like " syntax . I think that what we got with JavaScript ( a functional language with C syntax ) is really cool .	V V R D N , O V D N N , & ^ & ^ V R A P O V V V , D ^ N V N ^ ^ V P , O V V D N R A P D N P D N P V D , A , N , O V P O O V P ^ , D A N P ^ N , V R A ,
IMO , learn JavaScript first . You can be near guaranteed that you will come across a project / task where you need it . Definitely take a look at jquery , a great library for javascript . In terms of the application layer , if you are just learning now , Java is an OK decision to learn first , so is C# . Personally , I prefer the open source stack , Perl , Python or PHP as I believe there are a lot more resources out there to help you learn them . PHP will have the most resources , but Python is a better choice .	^ , V ^ R , O V V P A P O V V P D N , N R O V O , R V D V P ^ , D A N P ^ , P N P D N N , P O V R V R , ^ V D A N P V R , P V ^ , R , O V D A N N , ^ , ^ & ^ P O V R V D N A N P R P V O V O , ^ V V D A N , & ^ V D A N ,
I would recommend learning a few different languages before learning JavaScript . Java for class-based object orientation ; LISP or similar for functional programming . JavaScript can accomodate several different paradigms and it's easier if you are already familiar with them . JavaScript does functional programming better than Python or Java , but not as easily as the " real " funcional programming languages . JavaScript has its own variety of prototype-based object orientation and does it well . You can force it to do object oriented programming in a Java-like way , but you're better off not calling functions " classes " and just calling them " prototypes " . It's difficult to model subclasses inheriting from base classes ; it's much easier to just accept the concept of objects inheriting from prototypes . JavaScript is much easier to learn and use if you are already familiar with the basic concepts . For instance , you should know about HashMaps from Java or the equivalent Dictionaries in Python or Property Lists in LISP . In JavaScript every object is a really super-efficient HashMap , so if your design can make use of that fact , use it .	O V V V D A A N P V ^ , ^ P A N N , ^ & A P A N , ^ V V R A N & L A P O V R A P O , ^ V A V R P ^ & ^ , & R R R P D , A , N V N , ^ V L A N P A N N & V O R , O V V O P V N V N P D A N , & L R R R V N , N , & R V O , N , , L A P N N V P N N , L R A P R V D N P N V P N , ^ V R A P V & V P O V R A P D A N , P N , O V V P ^ P ^ & D N N P ^ & N N P ^ , P ^ D N V D R A ^ , R P D N V V V P D N , V O ,
Javascript source files on JBoss have the wrong content-type / mime type ?	^ N N P ^ V D A N , ^ N ,
I am writing a JSP application and am deploying it to JBoss 5.0 . When I attempt to retrieve my CSS or Javascript files , JBoss returns the wrong Content-type for the file , so Firefox refuses to execute code supplied in them . Here is my web.xml file : Using lynx to test the file download , I get the following : host > lynx http://devbox:8080/TestServlet/js/main.js -head -dump	O V V D ^ N & V V O P ^ $ , R O V P V D ^ & ^ N , ^ V D A N P D N , P ^ V P V N V P O , R V D N N , V ^ P N D N N , O V D N , N G ^ U G G
I have found an answer by changing the following : to be this , instead : As a beginner to JSP , I'm not sure what tutorial I picked up the previous example from , but it had led to no amount of frustration . The lynx command now results in : This applies to CSS as well .	O V V D N P V D N , P V D , R , P D N P ^ , L R A O N O V T D A N P , & O V V P D N P N , D ^ N R V P , D N P ^ P R ,
asynchronous file upload with java servlet	A N V P ^ N
It is exactly the same . The client makes an HTTP request to the server ( by submitting a form ) . The server responds with some HTML ( which links to or embeds some JavaScript ) . Switching from PHP to Java is just a drop in replacement . You don't need to change any of the JavaScript . The user guide tells you how to set it up .	O V R D A , D N V D ^ N P D N , P V D N , , D N V P D ^ , D N P & V D ^ , , V P ^ P ^ V R D N P N , O V V P V D P D ^ , D N N V O R P V O T ,
