Upload image thumbnail to server , without uploading whole image	V N N P N , P V A N
As far as I know , what I ask here isn't possible , but I thought I'd ask anyway in case I'm missing something . Suppose you want to let users upload JPG images , and these images are scaled into smaller icons and the original images are always discarded and never required again . Is there any way that would commonly work in most modern browsers that would let the user select a single image on their hard drive , have that LOCALLY turned into a thumbnail and upload the created thumbnail to a server ? In a case where the server just needs a small image , it would be wasteful both in user time and server resources to proceed uploading the whole image , only to immediately discard it . It would be much better to just scale it on the client . I can imagine three options . Just plain HTML / Javascript , using Flash or using Java . If this were possible with Flash , that would seem like the best option . But reading flash.net.FileReference documentation , it seems that you can upload a file from the HD yes , but you cannot look inside the file you are uploading . On the other hand , if you enable " can access local files " in Flash publishing options , it seems that you can then no longer access the net , so that doesn't work . With HTML / Javascript , it is possible to load images and display them on a canvas , but if you try to access the pixels of these images , you get security violations , so that doesn't seem to work . Java I hesitate to use , because only 96.52 % of my users have it installed , and the file upload dialogs I have seen implemented in Java ( at Facebook for example ) have not worked well ( unresponsive interface ) . I wonder though if Java is the only thing allowing resizing images from local HD ?	R R P O V , O O V R V A , & O V L V R P N L V N , V O V P V N V ^ N , & D N V V P A N & D A N V R V & R V R , V D A N P V R V P R A N O V V D N V D A N P D A N , V D R V P D N & V D A N P D N , P D N R D N R V D A N , O V V A X P N N & N N P V V D A N , A P R V O , O V V R R P R V O P D N , O V V $ N , R A ^ , ^ , V ^ & V ^ , P D V A P ^ , O V V P D A N , & V ^ N , O V P O V V D N P D ^ ! , & O V V P D N O V V , P D A N , P O V , V V A N , P ^ A N , O V P O V R R A V D N , P O V N , P ^ , ^ , O V R P V N & V O P D N , & P O V P V D N P D N , O V N N , P O V V P N , ^ O V P V , P A $ N P D N V O V , & D N V N O V V V P ^ , P ^ P N , V R V R , A N , , O V P P ^ V D A N V V N P A ^ ,
I think if there was a reasonably reliable and user-friendly way to accomplish this , it'd be done on sites like Facebook already . People are used to having to upload the original image ... it's always nice to be able to improve on an established UX , but if you can only match it , you're not exactly losing out . JavaScript is out , because JS cannot read anything directly from the client ; it can only direct the browser to load a pre-defined local path , or load bytes from the server . Flash's security sandbox also prevents this , as you pointed out . Java has a different set of problems - people rarely install applets these days unless they trust the site more than their own family members . It's also apparently extremely difficult to build something reliable and usable , as evidenced by Facebook-esque companies which have practically unlimited resources to throw at the problem and still fail . So , in summary - no , and don't worry too much about it .	O V P X V D R A & A N P V D , L V V P N P ^ R , N V V P V P V D A N , L R A P V A P V P D A ^ , & P O V A N O , L R R V T , ^ V T , P ^ V V N R P D N , O V R A D N P N D A A N , & N V P D N , Z N N R V D , P O V T , ^ V D A N P N , N R V N D N P O V D N R P D A N N , L R R R A P V R A & A , P V P A N O V R A N P V P D N & R V , P , P N , ! , & V V R A P O ,
If the jpeg image is progressive , you could stop uploading after a certain amount of resolution is acquired . This will require a bit of your own processing of the jpeg loader and http handling code . It's also a pretty big " IF " , since most jpegs are not progressive by default .	P D ^ N V A , O V V V P D A N P N V A , D V V D N P D N V P D ^ N & ^ V N , L R D R A , ! , , P A ^ V R A P N ,
" If this were possible with Flash , that would seem like the best option . " As I understand it , it is possible with Flash Player 10 . Here's an example : http://blog.kukiel.net/2009/02/file-manipulation-client-side-with.html Flash Player 10 currently has a general market penetration of about 85-90% , so if you hesitate to use Java because only 96.52 % of your user have it installed , I guess you wouldn't want to require Flash Player 10 either .	, P D V A P ^ , O V V P D A N , , P O V O , O V R P ^ N $ , L D N , U ^ N $ R V D A N N P P $ , R P O V P V ^ P A $ N P D N V O V , O V O V V P V ^ N $ & ,
Good Link . Since FlashPlayer 10 , it's possible to manipulate , or , better said , interpret data on client side .	A N , P ^ $ , L A P V , & , R V , V N P N N ,
Another way is to use Google's Gears , ex . : Gears Uploader .	D N V P V Z N , G , , N N ,
I think that you can upload the image to server , then show it in the browser , then the user will be resize it using javascript , but not real resize , only capture the coordenate of it , then you can use the coordeante to resize the image in the server and save the new image ( thumb ) and discard the original .	O V P O V V D N P N , R V O P D N , R D N V V V O V ^ , & R A N , R V D N P O , R O V V D N P V D N P D N & V D A N , N , & V D N ,
How to evalute prototype js files through rhino script engine in Java	R P V N ^ N P ^ N N P ^
I am having problems evaluating a script.js file which is dependent of prototype.js . When i am trying to evaluate the script.js file through rhino script engine in java i got Script Exception like " TypeError : $H is not a function , it is java.lang.String . " . How do I evaluate the files and how to include prototype.js and to define the prototype objects ?	O V V N V D ^ V D V A P ^ , R O V V P V D ^ N P ^ N N P ^ O V N N V , N , G V R D N , O V ^ , , , R V O V D N & R P V ^ & P V D N N ,
have you evaluated them in the correct order ? They need to be evaluated from the bottom up	V O V O P D A N , O V P V V P D A P
You cannot evaluate prototype.js using Rhino only . prototype.js have many references to the HTML DOM which is not implemented in Rhino / Java . For example ( from prototype.js ): document.createTextNode ( '') The document global object is not defined in Rhino context and createTextNode is not defined too . The solution is to remove all Objects / Functions from your copy of prototype.js that references the document , window or navigator objects . ( assuming your js file does not use them )	O V V ^ V ^ A , ^ V A N P D ^ ^ O V R V P ^ , ^ , P N , P ^ , ^ , ^ ^ N A N V R A P ^ N & ^ V R A R , D N V P V D N , N P D N P ^ D V D N , N & N N , , V D ^ V V R V O ,
You could also get away with declaring some dummy objects for document , window , navigator and so on . This way you do not have to change prototype.js .	O V R V R P V D A N P N , N , N & R P , D N O V R V P V ^ ,
Yes , that's cool :)	! , L A E
Take a look at env-js , which is a mock browser environment for Rhino . It's based on some work by John Resig to get JQuery working in Rhino . I wouldn't be surprised if Prototype worked as well .	V D V P ^ , O V D A N N P ^ , L V P D N P ^ ^ P V ^ V P ^ , O V V V P N V P R ,
GWT conditional compile	^ A N
I'm using the same source code for a GWT 1.5 and GWT 1.7 application . I'm wondering is there a way to conditionally compile parts of the java code for one or the other version . I know there is a way to do it for widgets and browsers in the module XML file .	L V D A N N P D ^ $ & ^ $ N , L V V X D N P R V N P D ^ N P $ & D A N , O V X V D N P V O P N & N P D N ^ N ,
I don't think so . Why would you compile for two GWT sources ? We went from 1.5 to 1.7 without problems .	O V V R , R V O V P $ ^ N , O V P $ P $ P N ,
We did to . But in one case the old ( 1.5 ) and the new ( 1.7 ) compiled code does not behave the same . It's a combination of java and native inserted scripts . Moving the old ( 1.5 ) code to the new interfaces removing all deprecated calls is currently to much work .	O V P , & P $ N D A , $ , & D A , $ , V N V R V D A , L D N P ^ & A V N , V D A , $ , N P D A N V O V V V R G A N ,
If you really want to do that I guess the approach would be to use a Generator . With a generator you can have deferred binding ( a bit a poor man's introspection ) . To get access to the 1.5 or 1.7 code you then have to define the generic API in an interface and use GWT.create on it to get the concrete implementation .	P O R V P V P O V D N V V P V D N , P D N O V V A N , D N D A S N , , P V V P D $ & $ N O R V P V D A ^ P D N & V ^ P O P V D A N ,
The solution is very simple .	D N V R A ,
if ( version.startsWith ( " 1.5 ")) { // do something the 1.5 . * way } Is actually kind of a bad idea . Ideally you should use absolute string values here , because the GWT compiler will evaluate equality and trim unreachable code inside an if conditional from the compiled output . Using . startsWith means that all the code will end up in the final application . Unfortunately GWT version is not a compile time property . Perhaps the best way to do it would be to create an empty Generator implementation that just returns " ClassName15 " or " ClassName17 " from a call in your module for " ClassName " . You can then , at compile time , call About.version() from the generator and find out what the version is at compile time .	P , ^ , , $ , , , V N D $ , , N , V R A P D A N , R O V V A N N R , P D ^ N V V N & V A N P D P A P D A N , V , ^ V P X D N V N T P D A N , R A N V R D N N N , R D A N P V O V V P V D A N N P R V , ^ , & , ^ , P D N P D N P , ^ , , O V R , O N N , V ^ P D N & V T O D N V P N N ,
Thanks for pointing that out , but this is the only solution I have found . And it is only for a small code snippet . So the solution works just fine for me .	N P V D T , & D V D A N O V V , & O V A P D A N N , P D N V R A P O ,
How to parse javascript for links with java ?	R P N ^ P N P ^ ,
