setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
I am implementing firefox extension using XUL . I have set of java classes that is zipped as jar which needs to be accessed through javascript . If I copy my jar into jre's lib / ext then javascript will be able to invoke my java classes . If I remove from ext and package this jar in xpi , Javascript is unable to find the classpath for my jar file . Please let me know how to set the classpath for my java classes ( jar file ) in XUL environment at the earliest .	O V V ^ N V ^ , O V V P ^ N O V V P ^ O V P V V P ^ , P O N D ^ P Z N , G R ^ V V A P V D ^ N , P O V P G & N D ^ P ^ , ^ V A P V D N P D ^ N , V V O V R P V D N P D ^ N , ^ N , P ^ N P D R ,
javascript / XUL invoking java ? interesting ... any ref ?	^ , ^ V ^ , A , D N ,
I suggest taking a look at this extension XQuery USE ME 1.4 . 7 and the following articles Calling java from XUL applications Java in Firefox Extensions	O V V D V P D N ^ ^ ^ $ , $ & D A N V ^ P ^ N ^ P ^ N
Thanks , Is there any easy way to set the classpath such that javascript can find it . - Anand .	N , V R D A N P V D N X D ^ V V O , , ^ ,
What is the disadvantage of DWR ?	O V D N P ^ ,
While using DWR in a intranet , will disadvantages like perfomance or security issues occur ? Direct web remoting is a tool which uses Ajax request to contact a server from a js file .	P V ^ P D N , V N P N & N N V , A N V V D N O V ^ N P V D N P D ^ N ,
One thing I would watch out for is that your server will most likely get hit by more HTTP requests than if you have the ( normal ) full page HTTP delivery . Let me explain . When your web page is AJAX-enabled , your clients will end up creating more HTTP requests for ( say ) form filling , page-fragment regeneration etc . I've seen scenarios where developers have gone AJAX-crazy , and made the web page a largely dynamic document . This results in a great user experience ( if done well ) , but every request results in a server hit , leading to scalability and latency issues . Note - this isn't particular to DWR , but is an AJAX issue . I've used DWR , and it works nicely . Unfortunately , I found that it worked so well , and so easily , that everything becomes a candidate for remoting , and you can end up with huge numbers of small requests .	$ N O V V T P V P D N V R R V V P A ^ N P P O V D , A , A N ^ N , V O V , R D N N V A , D N V N T V A ^ N P , V , N V , N N G , L V N R N V V A , & V D N N D R A N , D V P D A N N , P V R , , & D N V P D N N , V P N & N N , N , O V A P ^ , & V D ^ N , L V ^ , & O V R , R , O V P O V R R , & R R , D N V D N P V , & O V V T P A N P A N ,
I agree with this answer . I used DWR in an web-based application . The application gives a great user experience , but I think the application doesn't work fast , because of all the JavaScript and httprequest .	O V P D N , O V ^ P D A N , D N V D A N N , & O V D N V V R , P P X D ^ & G ,
I worked on a project with DWR - a really nice tool . I'm not convinced about the pace of development though . They did post on the development log that they're working on getting 3.0 out the door , but the last stable release - 2.0 - was out in summer 2006 . It's a bit worrying taken from a support perspective - bug fixes especially .	O V P D N P ^ , D R A N , L R V P D N P N P , O V V P D N V P L V P V $ P D N , & D A A N , $ , V T P N $ , L D N A V P D N N , N N R ,
Main problem I've experienced is trying to script a load test on a system where the main bulk of the work is done via DWR calls . The format of the calls is difficult to replicate when compared with just replying a bunch of urls with changing parameters . Still DWR is an excellent framework and makes implementing Javascript -> Java RPC pretty damn easy .	A N L V V V P V D N N P D N R D A N P D N V V P ^ V , D N P D N V A P V O V P R V D N P ^ P V N , R ^ V D A N & V V ^ , ^ ^ R A A ,
