What happened to Rhino ? Is it still under active development ?	O V P ^ , V O R P A N ,
The last release was in 2008-03-06 . What happened to it ? Is it still under active development ? Are there any replacements ?	D A N V P G , O V P O , V O R P A N , V R D N ,
This question might better be asked at the relevant newsgroup : mozilla.dev.tech.js -engine . Or by mail to one of the responsible developers as mentioned at the Mozilla site . However , if you found out please post the answer here . I'm interested too .	D N V R V V P D A N , ^ G , & P N P O P D A N P V P D ^ N , R , P O V T V V D N R , L V R ,
Slightly modified version of Rhino ( 1.6 r2 ) is part of Java 6 and on top of that from what I've tested Rhino is very much feature complete so there really isn't anything left to develop onwards , apparently it's also quite bug-free also . I'd say Rhino is one of those rare libraries which are actually done .	R A N P ^ , $ $ , V N P ^ $ & P N P D P O L V ^ V R A N A R R R V N V P V R , R L R R A R , L V ^ V $ P D A N O V R A ,
According to a post last week at http://groups.google.com/group/mozilla.dev.tech.js-engine.rhino/topics	V P D N A N P U
JavaScript ( Rhino ) use library or include other scripts	^ , ^ , V N & V A N
In JDK6 , is there a way to load multiple scripts , each in a file , and have the one script reference a method of another script ? Sort of like " include " ?	P ^ , V R D N P N A N , D P D N , & V D $ N N D N P D N , N P V , ^ , ,
As long as you use the same scope to execute each file , they will be able to reference functions and variables from previously executed files .	G G G O V D A N P V D N , O V V A P N N & N P R A N ,
Big help , thanks	A N , !
I think you're after the load() method / property of Rhino's global object / scope This will load a javascript source file , similar to how include / require will in PHP . Once you load a file , you'll be able to call and function or use any object defined in the loaded file . This is how things work when you're using the Rhino shell , which is the only context I know ( your question mentioned the Java SDK , which is outside my area of experience )	O V L P D ^ N , N P Z A N , V D V V D ^ N N , A P R V , V V P ^ , R O V D N , L V A P V & N & V D N V P D A N , D V R N V R L V D ^ N , O V D A N O V , D N V D ^ ^ , O V P D N P N ,
Is this available outside of the Rhino shell ?	V D A N P D ^ N ,
Not sure , that's not my pay rate . ( updated the question to reflect that )	R A , L R D V N , , V D N P V O ,
if you happen to be trying to do this within ant , you might see this error : but you can sidestep it :	P O V P V V P V D P ^ , O V V D N , & O V V O ,
The >> '' + < < is of major importance here !	D G G G G G V P A N R ,
A real-life example this time , i.e. running the esprima parser with Rhino 1.7 R4 . After running this code , you should see the output as follows : So indeed , the trick is in reusing the globalScope object .	D A N D N , O V D ^ N P ^ $ $ , P V D N , O V V D N P V , P R , D N V P V D ^ N ,
How to Prevent an Applet from Unloading across web pages ?	R P V D N P V P N N ,
I have a large applet that takes some 40 seconds to initialize ( cabs are cached so ignore download time for this question ) . The issue is , if the user goes to Page A which launches the applet ( single window ) and then navigates to page B , the applet is unloaded . If the user goes back to Page A , they incur the 40 seconds init time once again . I'd like to be able to launch the applet , incurring the 40 seconds init time once and only once . The applet needs to reside inside a single browser window ( the same window as my web application ) . In other words , I cannot launch the applet in a popup . Does anyone have any creative ideas around how to prevent the applet unloading ?	O V D A N O V D $ N P ^ , N V V P V N N P D N , , D N V , P D N V P N N O V D N , A N , & R V P N N , D N V V , P D N V R P N N , O V D $ N N N R R , L V P V A P V D N , V D $ N N N R & R R , D N V P V P D A N N , D A N P D N N , , P A N , O V V D N P D N , V O V D A N P R P V D N V ,
Put the Applet in a frame that doesn't unload , or prevent the user from going to another page in the web page that contains the Applet .	V D N P D N P V V , & V D N P V P D N P D N N O V D N ,
The only option would be to put you content in an iframe that encompasses your whole document and use absolute positionning for the applet . With a css like this one : There are MANY drawbacks : The applet will always be positionned at the same place , no matter the page You will suffer to get the iframe full width and full height , especially in IE It's possible you will also suffer to have the applet showing properly ( an object on top of an iframe , I can't imagine what troubles you'll run into ) The applet will stay if your user click to a link leading outside of your site unless you set a target for the link ( ie , target='top ' or target='__blank ')	D A N V V P V O V P D ^ O V D A N & V A N P D N , P D ^ P D $ , X V A N , D N V R V V P D A N , D N D N O V V P V D ^ A N & A N , R P ^ L A O V R V P V D N V R , D N P N P D ^ , O V V O N L V P , D N V V P D N V P D N V R P D N P O V D N P D N G G G G G G G G
If I did this , the browser URL would never change from page to page . Not really what I'm looking for .	P O V D , D N ^ V R V P N P N , R R O L V P ,
I thought maybe there'd be a way to popup a tiny browser window and have the applet load in that , then using Javascript somehow pull in the applet from the smaller window into the larger browser . I don't think I can manipulate the DOM in this way though . Any other ideas ?	O V R L V D N P V D A N N & V D N N P O , R V ^ R V P D N P D A N P D A N , O V V O V V D ^ P D N P , D A N ,
You could show a warning , this way : This works in allmost every browser , but you cannot change the text surrounding your text .	O V V D N , D N , D V P R A N , & O V V D N V D N ,
Browser Java Plugin Detection	N ^ N N
What is the preferred method to determine if the Sun Java Plugin is installed in the browser ?	O V D A N P V P D ^ ^ ^ V V P D N ,
age	java deployment toolkit script src= " http://java.com/js/deployJava.js " if ( deployJava.versionCheck('1 . 6 ')) { alert ( " 1.6 installed ") }	N N N N N , U , P , $ , $ E E E , , O V E ,
nization Error	this doesn't works always . ( 1 ) If its disabled in firefox it says not installed . ( 2 ) on lion os x , even when its disabled in all browsers , it tells installed	D V V R , G $ G P L A P ^ O V R V , G $ G P ^ ^ $ , R R L A P D N , O V V
This isn't an answer for your exact question but is offered as a solution for determining the browser itself . Don't be too harsh , this is really old code that I wrote some time ago .	D V D N P D A N & V V P D N P V D N O , V V R A , O V R A N P O V D N R ,
You may also consider PluginDetect script .	O V R V ^ N ,
Why is Java giving me an IllegalArgumentException ?	R V ^ V O D ^ ,
I'm using dwr and spring and I get this error : java.lang.IllegalArgumentException : Javascript name * is used by 2 classes I found nothing helpful on Google , do you know why I'm getting this error ?	L V ^ & ^ & O V D N , ^ , ^ N , V V P $ N O V R A P ^ , V O V R L V D N ,
That is neither valid nor well-formed XML .	O V D A & V ^ ,
Where is Java getting involved in this ? This is Javascript .	R V ^ V V P D , D V ^ ,
Found . Because the version of the DWR's jar did not match the version of DWR's schema	V , P D N P D Z ^ V R V D N P Z N
+1 for answering your own question	$ P V D A N
Returning a host object in Rhino	V D N N P ^
What is the best way to return an host object to JavaScript in Rhino ? I have two classes like this : It works , in the sense that I can call the toString method , but the member object doesn't behave as I would expect : If I call Object.prototype.toString though , it does say it's a Member object : I've tried calling m.setPrototype and Context.javaToJS .	O V D A N P V D N N P ^ P ^ , O V $ N P D , O V , P D N P O V V D ^ N , & D N N V V P O V V , P O V ^ P , O V V L D N N , L V V ^ & ^ ,
Edit : The method can also be written : which will call Member.jsConstructor ; there may be other differences as well .	N , D N V R V V , O V V ^ , X V V A N P R ,
Thanks , that's perfect .	N , L A ,
How can I handle Java object serialization with JavaScript ?	R V O V ^ N N P ^ ,
I have serialized the Java object located on the server side and sent it to the client How can I deserialize that XML string into the Java object using JavaScript and execute the methods of person class in the client side using the JavaScript ? Please help me with syntax or any guidelines .	O V V D ^ N V P D N N & V O P D N R V O V D ^ N P D ^ N V ^ & V D N P N N P D N N V D ^ , V V O P N & D N ,
Is this not a duplicate of your previous questions ? I'm getting a distinct sense of deja vu here	V D R D N P D A N , L V D A N P ^ ^ R
XML is presented as a DOM tree to JavaScript	^ V V P D ^ N P ^
nization Error	ok , how does the javascript deserialize that recieved XML into Java object.since i want to deserialize into java object so that it could be executed in client side JVM once instantiating that java object	! , R V D ^ V D G ^ P ^ G O V P V P ^ N P D O V V V P N N ^ R V D ^ N
What you're describing here sounds different than your question .	O L V R V A P D N ,
why do you need JavaScript do deserialize the objects ? why don't you simply use a Java-to-Java connection ?	R V O V ^ V V D N , R V O R V D N N ,
You can't run Java methods with Javascript . The only thing you could do is to read the properties of the Java object - this is the only information that is serialized in the XML file . It is very easy to read XML with javascript . To be able to serialize a Java object , send it to a client and execute Java code there a totally different architecture would be needed . At first you need Java running on the client too . Then you would need to employ a method like RMI .	O V V ^ N P ^ , D A N O V V V P V D N P D ^ N , O V D A N P V V P D ^ N , O V R A P V ^ P ^ , P V A P V D ^ N , V O P D N & V ^ N X D R A N V V V , P R O V ^ V P D N R , R O V V P V D N P ^ ,
age	does satisfy meet my requirements sir ?	V V V D N N ,
Yes , but you still need a different serializing technique and dealing with security issues . The applet would probably need to be signed in order to be able to communicate with the RMI server .	! , & O R V D A N N & V P N N , D N V R V P V V P V P V A P V P D ^ N ,
This seems overly complicated . What he really needs is to make his Java server provide a web service and then he needs to call that web service using AJAX .	D V R A , O O R V V P V D ^ N V D N N & R O V P V D N N V ^ ,
You can call Java methods on the client side using JavaScript by using SOAP . This article explains how to create a WSDL web service that can be accessed by any SOAP client that supports WSDL . You can then call the Java WSDL service using AJAX in JavaScript ( if you can find a JS library that implements SOAP and WSDL ) . Alternatively , you can write a simplified front-end to the Java WSDL service in PHP using PHP's built-in SoapClient library . Make it take some simple GET arguments and return JSON or XML . You could then trivially access the PHP web service using AJAX via jQuery ( or an equivalent AJAX-supporting library ) .	O V V ^ N P D N N V ^ P V ^ , D N V R P V D ^ N N O V V V P D ^ N O V ^ , O V R V D ^ ^ N V ^ P ^ , P O V V D ^ N P V ^ & ^ , , R , O V V D A N P D ^ ^ N P ^ V Z A ^ N , V O V D A ^ N & V ^ & ^ , O V R A V D N N N V ^ P ^ , & D N A N , ,
+1 XStream supports JSON out of the box .	$ ^ V ^ T P D N ,
nization Error	If you're going for an applet and want to make Javascript calls from Java , checkout the LiveConnect with the JSObject wrapper class . This way you can excute javascript functions inside the applet ( and pass information in between ); Look into the IRIS applictation made for Flickr , it's open source and uses this technique . The Belgian JUG Parleys have a speech from a convention covering some of this , You can find it here .	P L V P D N & V P V ^ N P ^ , V D ^ P D ^ N N , D N O V V ^ N P D N , & V N P P G V P D ^ N V P ^ , L A N & V D N , D ^ ^ ^ V D N P D N V D P D , O V V O R ,
Detecting EOF / TCP teardown using Java sockets from Javascript	V ^ , ^ N V ^ N P ^
I'm creating a Java socket in Javascript , sending an HTTP request and receiving a response correctly but I seem to be unable to detect an EOF or the server closing the socket at the end . What am I doing wrong ? The problem is we never exit the outermost while loop - the server stops transmitting and ( presumably ) closes its end of the connection , yet receiver.read() never returns -1 and all the socket methods return state consistent with the socket still being connected .	L V D ^ N P ^ , V D ^ N & V D N R & O V P V A P V D ^ & D N V D N P D N , O V O V A , D N V O R V D A ^ N , D N V V & , R , V D N P D N , & ^ R V $ & X D N N V N A P D N R V V ,
nization Error	Wouldn't the this : while ( receiver.available() & & ! eof ) be better ? in lieu of the first while ( receiver.available() ) ?	V D D , ^ , ^ = = = ^ , V R , P O P D A ^ G ^ G ,
Seems a bit redundant - available() is defined as returning the number of bytes of data available to read without blocking , so would return 0 after EOF . Tried it anyway just in case ; doesn't fix the problem .	V D R A , ^ V V P V D N P V P N A P V P V , P V V $ P ^ , V O R R P N , V V D N ,
