Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
This link may be helpful . It seems that the best you can do is to rely on an implementation specific class .	D N V V A , O V P D A O V V V P V P D N A N ,
Passing variable name into GWT's JSNI	V N N P Z ^
Does not work ? You may also want to look at the GWT ' Dictionary ' class . It's ideal for loading values , i.e. parameters from the host page .	V R V , O V R V P V P D ^ , N , N , L A P V N , G N P D N N ,
Should web developers still learn JavaScript ?	V N N R V ^ ,
In my book , yes . I'm a strong believer in understanding the underlying technology beneath whatever toolkits you're using . Abstractions are leaky - you'll run into trouble down the line if you try to get away with only understanding a high-level toolkit , and not the underlying technology . Sooner or later you'll need to debug your project at the JavaScript ( or whatever ) level .	P D N , ! , L D A N P V D A N P D N L V , N V A , L V P N P D N P O V P V R P A N D A N , & R D A N , R & R L V P V D N P D ^ , & ! , N ,
@Macha : Well said . JS in it's own right is extremely powerful ( and very different from Java ) . Why cover it up with abstractions ?	@ , ! V , ^ P L A N V R A , & R A P ^ , , R V O T P N ,
Understanding the technology behind your framework reduces the time spending on debugging the things you do with your framework . so in my opinion it's always good to know whats going on behind the scene .	V D N P D N V D N V P V D N O V P D N , R P D N L R A P V L V P P D N ,
I would suggest cross-referencing the two ; for the language features that Crockford leaves out of The Good Parts , I wouldn't spend too much time studying them while reading The Definitive Guide . You may eventually need to understand those features , but part of Crockford's point is that a bunch of things in the Javascript language were poorly designed and really shouldn't be there . I've found that , for the most part , I've agreed with him . ( I also learned a fair amount from him . )	O V V V D $ , P D N N D ^ V T P D A N , O V V R A N V O P V D N N , O V R V P V O N , & N P Z N V P D N P N P D ^ N V R A & R V V X , L V O , P D A N , L V P O , , O R V D A N P O , ,
I think the reality of browser bugs will make being able to diagnose and understand the generated JavaScript necessary for a long time . I worked with a Spreadsheet company for OS / 2 , and they had to read the generated assembler from the C++ code because the IBM compiler would generate buggy machine code at times . So while they may not have known enough Assembler to write a whole project in it , they certainly had to know enough to track down problems . That being said , there are also many web frameworks that require you to code your own javascript , and a given toolkit won't necessarily do everything that you need to do without directly writing some javascript . You can choose frameworks that avoid it if you prefer , but it isn't at all obvious that , unlike say Assembler for application development , the Web development community has decided to abstract away any involvement with it . You may well end up on projects that need it .	O V D N P N N V V V A P V & V D V ^ A P D A N , O V P D N N P ^ , $ , & O V P V D V N P D ^ N P D ^ N V V N N N P N , P P O V R V V A N P V D A N P O , O R V P V A P N T N , O V V , X V R A N N O V O P N D A ^ , & D V N V R V N P O V P V P R V D ^ , O V V N O V O P O V , & O V P D A O , P V N P N N , D ^ N N V V P V R D N P O , O V R N T P N O V O ,
Actually , drawing a parallel to assembly language is a bit missing the point . Assembly was platform specific and the move to C enabled a certain level of platform agnosticism , allowing the developer to be more productive on multiple platforms . Hence , there was a real productivity effect . Learning all your rich web chops on something like GWT is more limiting . It is , after all , based on Java , and the web is way larger in scope than just Java . You'd be seriously limiting yourself if all you know is GWT but not the inner workings of the generated Javascript ( Can't comment on Morfik as I don't know it ) . However , employing something like JQuery in order to be more productive when coding Javascript is much better . JQuery can be used on any browser running on any OS , so it doesn't limit you .	R , V D A P N N V D N V D N , N V N A & D V P ^ V D A N P N N , V D N P V R A P A N , R , X V D A N N , V X D A N N P N P ^ V R V , O V , P X , V P ^ , & D N V N R P N P R ^ , L V R V O P X O V V ^ & R D A N P D V ^ , V V P ^ P O V V O , , R , V N P ^ P N P V R A R V ^ V R R , ^ V V V P D N V P D ^ , P O V V O ,
A web developer who does not know Javascript is like an auto mechanic who does not know how to change a tire .	D N N O V R V ^ V P D A N O V R V R P V D N ,
Accessing the JavaScript Table DOM in a Java Servlet	V D ^ N ^ P D ^ ^
Apparently you are generating the table in the JSP so why don't you just output the data you are creating the Table from ? For the actual JavaScript implementation just take a look at Ajax functionality and Dom Manipulation with jQuery ( http://jquery.com )	R O V V D N P D ^ R R V O R P D N O V V D N P , P D A ^ N R V D V P ^ N & ^ N P ^ , U ,
POST the table to the server . If you want to access the DOM like you would in JavaScript , you are going to need Rhino . But I recommend just sticking with something easier to drop in like JDOM . Then echo back the table with the content-type modified in the header to be " application / ms-excel " .	V D N P D N , P O V P V D ^ P O V P ^ , O V V P V ^ , & O V R V P N A P V P V ^ , R V T D N P D N V P D N P V , N , ^ , ,
Issue with IE security on page opened from javascript	N P ^ N P N V P ^
" I can't really ask my customer to add an exception to " http:// "" - you can ask , but they won't be able to do it . IE doesn't let you enter exceptions that are that wide-ranging .	, O V R V D N P V D N P , U , , O V V , & O V V A P V O , ^ V V O V N O V D A ,
No they both have the same domain one is www.example.com/app1/page.jsp the other is www.example.com/app2/anotherpage.jsp	! O D V D A N N V U D N V U
My issue is that there is no " site " to add as an exception . It's complaining about " http:// " not another website .	D N V O R V D , N , P V P D N , L V P , ^ , R A N ,
Unfortunately I can't post the source A : Because of an NDA B : The Javaprojects are Huge The javascript that loads the page is just window.open ( " URL ") ; nothing special	R O V V D N G , P P D ^ G , D N V A D ^ D N D N V R ^ , , ^ , , N A
