Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
In a Java program I'm invoking a user-defined JavaScript program : Now I would like to use ' result ' : how can I have an access to it ? Can I identify it as an array ( Can I iterate threw its members ) , a String , an Integer , etc ... ? Thanks EDITED : I just know that my user gave me a script returning the last value . I don't know anything about this value . Is it a String , an array , etc .. ? I don't known but I want to use it .	P D ^ N L V D N ^ N , R O V V P V , N , , R V O V D N P O , V O V O P D N , V O V V L N , , D N , D N , G , , N ^ , O R V P D N V O D N V D A N , O V V N P D N , V O D N , D N , G , , O V A & O V P V O ,
This link may be helpful . It seems that the best you can do is to rely on an implementation specific class .	D N V V A , O V P D A O V V V P V P D N A N ,
Except perhaps for simple values , I would rather let the scripting engine coerce its values to Java types . Even if you can't edit the script , you could take the return value and pass it through your own generated script to do the coercion . This assumes you know something about the value being returned . EDIT : since nothing is known about the return value , I would first test it using Java ( getClass() ) to see if it was one of the java.lang types . If the returned object is from some API private to the library , I would introspect it using the scripting language ( in this case JavaScript ) , possibly coercing it to a Java type or pushing its properties into some Java data structure during the process . My JavaScript is rusty , but John Leach's tutorial looks quite good : JavaScript Introspection . ( You may be able to use Java reflection , but since the engine implementation could vary between Java versions / JREs / JavaScript engines , I wouldn't rely on it . )	V R P A N , O V R V D N N V L V P ^ N , R P O V V D N , O V V D N N & V O P D N V N P V D N , D V O V N P D N V V , V , P N V A P D N N , O V A N O V ^ , ^ , P V P O V $ P D ^ N , P D V N V P D ^ A P D N , O V V O V D N N , P D N ^ , , R V O P D ^ N & V L N P D ^ N N P D N , D ^ V A , & ^ Z N V R A , ^ N , , O V V A P V ^ N , & P D N N V V P ^ N , ^ , ^ N , O V V P O , ,
Passing variable name into GWT's JSNI	V N N P Z ^
Using the JavaScript Native Interface of GWT I can perform the following : Which will return the contents of a JavaScript variable called foo . How can I expand upon this to accept the variable name as a parameter ? ie : Simply using the variable name inside the native code like one would to call : results in the JavaScript hunting for a declaration of a variable named foo and not one named with the value of foo . Thanks very much !	V D ^ A N P ^ O V V D N , O V V D N P D ^ N V C , R V O V P D P V D N N P D N , ^ , R V D N N P D A N P O V P V , N P D ^ V P D N P D N V C & R O V P D N P C , N R A ,
Does not work ? You may also want to look at the GWT ' Dictionary ' class . It's ideal for loading values , i.e. parameters from the host page .	V R V , O V R V P V P D ^ , N , N , L A P V N , G N P D N N ,
Brilliant ! I'll look into the Dictionary too although we're aiming for re-usable JSP tags which can grab particular session attributes and dump them to pages where they're needed . It's not perfect but the Dictionary still requires two things to think about and the tags give us easy validation against a TLD . Thanks !	A , L V P D N R P L V P N ^ N O V V A N N & V O P N R L V , L R A & D N R V $ N P V P & D N V O A N P D N , N ,
Should web developers still learn JavaScript ?	V N N R V ^ ,
Now that frameworks like GWT , Morfik etc exist which compile Java client side code into major JavaScript dialects , is it still worth learning JavaScript ?	R O N P ^ , ^ G V D V ^ N N N P A ^ N , V O R V V ^ ,
In my book , yes . I'm a strong believer in understanding the underlying technology beneath whatever toolkits you're using . Abstractions are leaky - you'll run into trouble down the line if you try to get away with only understanding a high-level toolkit , and not the underlying technology . Sooner or later you'll need to debug your project at the JavaScript ( or whatever ) level .	P D N , ! , L D A N P V D A N P D N L V , N V A , L V P N P D N P O V P V R P A N D A N , & R D A N , R & R L V P V D N P D ^ , & ! , N ,
Not really worth it's own answer , so put here . If you use one of the Java -> Javascript converters , you lose a lot of javascript features such as dynamic typing , and the ability to use functions as proper objects . I don't really see why people look at javascript as a low level language . Combined with frameworks ( written in javascript ) such as jQuery , it's a easy to use and powerful language .	R R A L A N , P V R , P O V $ P D ^ , ^ N , O V D N P ^ N R R A N , & D N P V N P A N , O V R V R N V P ^ P D A N N , V P N , V P ^ , A P ^ , L D A P V & A N ,
@Macha : Well said . JS in it's own right is extremely powerful ( and very different from Java ) . Why cover it up with abstractions ?	@ , ! V , ^ P L A N V R A , & R A P ^ , , R V O T P N ,
Agreed . Using stuff like Gwt without knowing JS is like using some database tool without knowing SQL . While that may work , you're going to get better results if you actually know what's going on .	! , V N P ^ P V ^ V P V D N N P V ^ , P O V N , L V P V A N P O R V L V P ,
Understanding the technology behind your framework reduces the time spending on debugging the things you do with your framework . so in my opinion it's always good to know whats going on behind the scene .	V D N P D N V D N V P V D N O V P D N , R P D N L R A P V L V P P D N ,
Yes , ... and I speak with experience : I've never learned javascript and only used parts of it , when I encountered it in google searches for questions . Now that I'm building a Web application , I notice that not all abstractions away from javascript have the desired functionality , and I need to go into javascript to solve it . I notice that I miss the fundamental knowledge I have with other languages , just like I miss the ' javascript programming language ' book ( I'm not sure it exists but I have similar copies for C , C++ and Java ) . So today I ordered Javascript : The good parts and I will learn it ...	! , , & O V P N , L R V ^ & R A N P O , R O V O P ^ V P N , R P L V D ^ N , O V O R D N R P ^ V D A N , & O V P V P ^ P V O , O V P O V D A N O V P A N , R P O V D , ^ V N , N , L R A O V & O V A N P ^ , ^ & ^ , , P N O V ^ , D A N & O V V O ,
