TextMate equivalent to gVim Ctrl+P	^ V P ^ G
To auto complete a previously written string . Is it possible ? EDIT I'm editing javascript / java if that matters .	P R V D R A N , V O A , V L V ^ , ^ & O V ,
Yes - the autocomplete key is ' escape ' by default . See the TextMate manual for further information .	! , D N N V , V , P N , V D ^ N P A N ,
Thank you !!! it was driving me crazy !!! :) About the manual ... mhhhh ... mmhh well .. Beside having to write my own product user manual ( which I hate and usually I avoid ) do I have to read others them too ??? :) :) :) ;) Thanks again	V O , O V V O A , E R D N , G ~ G R , P V P V D A N N N , D O V & R O V , V O V P V N O R , E E E E N R
@Oscar - absolutely . RTFM , man .	@ ~ R , G , N ,
Also , Google " Textmate tips " - I seem to pick up something new in every blogpost I read about TM .	R , ^ , ^ N , , O V P V T N A P A N O V P G ,
Thanks for the hint . I didn't know about http://textmatetips.com .	N P D N , O V V P U ,
String data passed to Java Applet by javascript is null when in Java applet	N N V P ^ N P ^ V A R P ^ ^
This question may look familliar but I've discovered some rather more pertinent information and tried some other things ( which are detailed below ) so to avoid confusion I've created another question . Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed to the applet's WriteDocument method have within range sensible values . The XML is like this ( the content of the PDF element is a lot bigger than displayed above , i've truncated the data for space reasons ; the PDF data is about 4Mb ) The signature of the Java method is : What happens is that somehow the xml string data is lost and by the time one gets into the Java the value of the PDFData parameter is null . I've debugged into the JS and the pdfXML param of the js method CallApplet definitely has content . I've also tried to add a param tag in to the applet tag and set its value before calling the applet and used GetParameter() from inside the applet . This results in a blank string rather than a null . This problem doesn't occur on every machine . Our QA department don't get this for example but since this is a client-side issue , one of our customers will probably see this . I'm utterly out of ideas here so any help would be appreciated ( with the obvious proviso that sadly I need to get this working rather than re-engineer this and the legacy systems the applet communicates with to avoid using an applet . )	D N V V A & L V O R R A N & V O A N , O V A P , R P V N L V A N , L D ^ , P D ^ N , ^ V V P ^ D V D A N P D N V D ^ O V ^ V ^ N D V V P D ^ ^ , X D A N V V P D S ^ N V P N A N , D ^ V P D , D N P D ^ N V D A A P N P , L V D N P N N , D ^ N V P $ , D N P D ^ N V , D V V O R D ^ N N V A & P D N N V P D ^ D N P D ^ N V A , L V P D ^ & D ^ N P D ^ N ^ R V N , L R V P V D N N P P D N N & V D N P V D N & V ^ P P D N , D V P D N N R P D O , D N V V P A N , D ^ N V V D P N & & D V D A N , $ P D N V R V D , L R R P N R & D N V V V , P D A N P R O V P V D V R P V D & D N N D N V P P V V D N , ,
Sorted the problem . How ? I took JRE 1.6 update 12 off and stuck update 7 ( which is the version we reccomend to those who use our website ) on my machine . Why update 12 stopped working I don't know . Why update 7 is stable I don't know . [ sigh ] It's things like this that make me glad I work mostly with a ' long time between releases ' framework like . net .	V D N , R , O V ^ $ N $ R & V V $ , D V D N O V P O O V D N , P D N , R V $ V V O V V , R V $ V A O V V , , N , L N P D O V O A O V R P D , A N P N , N V , ^ ,
Detecting a 64-bit jre in a 32-bit browser ?	V D A ^ P D A N ,
Is there any way to detect a 64-bit java install in a 32-bit environment ? The Java Deployment Toolkit detects nothing , but I was wondering if there was some secret browser way of detecting the 64-bit install client-side .	V R D N P V D A ^ V P D A N , ^ ^ N N ^ N , & O V V P X V D A N N P V D A V A ,
Sun's HotSpot JVM FAQ : When writing Java code , how do I distinguish between 32 and 64-bit operation ? There's no public API that allows you to distinguish between 32 and 64-bit operation . Think of 64-bit as just another platform in the write once , run anywhere tradition . However , if you'd like to write code which is platform specific ( shame on you ) , the system property sun.arch.data.model has the value " 32 " , " 64 " , or " unknown " . You can access this like System.getProperty ( " sun.arch.data.model ") . This property will obviously only actually be set on Sun JVMs / JREs . You might also try to parse the results of System.getProperty ( " java.vm.name ") , but this will also be highly vendor specific .	Z ^ ^ ^ , R V ^ N , R V O V P $ & A N , L R A ^ O V O P V P $ & A N , V P A P R A N P D V R , V R N , R , P L V P V N O V N A , N P O , , D N N ^ V D N , $ , , , $ , , & , A , , O V V D P ^ , , ^ , , D N V R R R V V P ^ ^ , ^ , O V R V P V D N P ^ , , ^ , , & D V R V R N A ,
I guess I could do this in an applet , but I was hoping to get this information before java was necessarily loaded or available .	O V O V V D P D N , & O V V P V D N P ^ V R A & A ,
HtmlUnit property undefined script error	^ N A N N
I m submitting a form using java HtmlUnit package . I am able to get pages and submit forms but on one page I m getting a ScriptException error . The message is Cannot set property " disabled " of undefined to " 0 " I think it might be caused by a javascript method that tries to set a variable that has not been declared in the form but I m not sure .	O V V D N V ^ ^ N , O V A P V N & V N & P $ N O V V D ^ N , D N V V V N , A , P A P , $ , O V O V V V P D ^ N O V P V D N O V R V V P D N & O V R A ,
Does viewing the same page in a browser produce a JS error ?	V V D A N P D N V D ^ N ,
I just tested it again and just noticed the page that loads does have a JS error . Is there a way I can tell HtmlUnit to keep processing like ie does ?	O R V O R & R V D N O V V V D ^ N , V R D N O V V ^ P V V P ^ V ,
Can you provide a public website to test against ? As I am not able to load the JS in https://mmlab1msslnx.fmr.com/mcwebadm/cgi-bin/edit_local.pl?operation=edit return_address=%2Fmcwebadm%2Fcgi-bin% 2Fmenu.pl selected=22020c341b11de96c3000423d43f1d Also , please use latest HtmlUnit 2.5 version .	V O V D A N P V P , P O V R A P N D ^ P U G G G R , ! V A ^ $ N ,
I'm not able to provide a public test case . I'm working on creating one . I have checked and I'm using version 2.5 . I was hoping someone had seen something similar to this .	L R A P V D A N N , L V P V $ , O V V & L V N $ , O V V O V V O A P D ,
This was caused my a javascript error on the page that was being loaded . I set the webClient.getOptions() . setThrowExceptionOnScriptError ( false ); but it still threw the exception . SOLUTION : If you catch the ScriptException the page is STILL fully loaded and you can just continue processing and ignoring the exception . Example of HTML that fails :	D V V D D ^ N P D N O V V V , O V D ^ , ^ , A , & O R V D N , N , P O V D ^ D N V R R V & O V R V V & V D N , N P ^ O V ,
Should I use PHP or JSP for a chat website ?	V O V ^ & ^ P D N N ,
I want to develop a website web chat application like yahoo . Only difference is that I want to make it web based not desktop . I will be implementing it in jsp / php with ajax . I want to know whether jsp or php will be better for this . What will be advantages or disadvantages of both . Which one of the two would you prefer and why ? Will jsp applicatioon will be slower then php ? I am thinking of using using struts with jsp and ajax . Will using of struts decrease speed ? I know jsp , java and struts but not php . Is php more difficult then jsp ?	O V P V D N N N N P ^ , A N V P O V P V O N V R N , O V V V O P ^ , ^ P ^ , O V P V P ^ & ^ V V A P D , O V V N & N P O , ^ $ P D $ V O V & R , V ^ N V V A R ^ , O V V P V V ^ P ^ & ^ , V V P ^ V N , O V ^ , ^ & ^ & R ^ , V ^ R A R ^ ,
How long is a piece of string ? Seriously . We don't know exactly what you want to do but I imagine most of the backend stuff will be very similar in difficulty between the two platforms . Most of the work will be platform independent front-end stuff .	R R V D N P N , R , O V V R O O V P V & O V R P D N N V V R A P N P D $ N , R P D N V V N A N N ,
It won't be slower because you are using one over the other . It will be slower only if your implementation is less efficient .	O V V A P O V V $ P D O , O V V A R P D N V R A ,
Whatever you choose keep in mind that web based chat app would probably need continuous updates from server to the clients ( so called Comet ) .	R O V V P V D N V N N V R V A N P N P D N , P V ^ , ,
Use whichever one that you're a better programmer in . The task can be accomplished in either language just the same . You can argue endlessly about language features , the bottom line will be whatever works best for you .	V O $ P L D A N P , D N V V V P D N R D A , O V V R P N N , D A N V V O V A P O ,
JSP based web applications are a bit more harder to deploy than PHP based web applications , but you gain the ability of creating Servlets . PHP requires less server administration skills to setup properly and get running , is fast to learn , and allows fast creation of simple applications . None is better than the other , they are different in nature . Check your requirements , and take a decision based on that . If your requirements doesn't favor one over the other , choose whichever your team is more comfortable with .	^ A N N V D A R A P V P ^ A N N , & O V D N P V ^ , ^ V A N N N P N R & V V , V A P V , & V A N P A N , N V A P D O , O V A P N , V D N , & V D N V P D , P D N V V $ P D A , V O D N V R A P ,
+1 for basing your decision on * your requirements* .	$ P V D N P , D N ,
Exactly ! Great answer . Just because you can program easier in PHP doesn't mean it will always be the best choice . The requirements should be used to point you in the right direction .	R , A N , R P O V V R P ^ V V O V R V D A N , D N V V V P N O P D A N ,
