I'm	L
creating	V
a	D
Java	^
socket	N
in	P
Javascript	^
,	,
sending	V
an	D
HTTP	^
request	N
and	&
receiving	V
a	D
response	N
correctly	R
but	&
I	O
seem	V
to	P
be	V
unable	A
to	P
detect	V
an	D
EOF	^
or	&
the	D
server	N
closing	V
the	D
socket	N
at	P
the	D
end	N
.	,
What	O
am	V
I	O
doing	V
wrong	A
?	,
The	D
problem	N
is	V
we	O
never	R
exit	V
the	D
outermost	A
while	^
loop	N
-	,
the	D
server	N
stops	V
transmitting	V
and	&
(	,
presumably	R
)	,
closes	V
its	D
end	N
of	P
the	D
connection	N
,	,
yet	&
receiver.read()	^
never	R
returns	V
-1	$
and	&
all	X
the	D
socket	N
methods	N
return	V
state	N
consistent	A
with	P
the	D
socket	N
still	R
being	V
connected	V
.	,
