Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s0,twitterId,219055
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s1,twitterId,219055
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s2,twitterId,219055
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s3,twitterId,219055
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s4,twitterId,219055
Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,s5,twitterId,219055
Fri Aug 21 2015 15:11:17 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:18 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:19 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:20 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:20 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:21 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:22 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:22 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:22 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:23 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:23 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:24 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:11:24 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:11:55 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:56 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:56 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:57 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:11:57 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:11:59 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:59 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:12:00 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:12:02 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:12:03 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:12:38 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:38 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:39 GMT+0800 (中国标准时间),,s0w3,label,"^"
Fri Aug 21 2015 15:12:40 GMT+0800 (中国标准时间),,s0w3,label,"R"
Fri Aug 21 2015 15:12:42 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:12:42 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:13:20 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:13:20 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:14:28 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:14:34 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:14:45 GMT+0800 (中国标准时间),,s0w2,label,"N"
Fri Aug 21 2015 15:15:28 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 15:15:28 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 15:15:29 GMT+0800 (中国标准时间),,s1w37,label,"D"
Fri Aug 21 2015 15:15:33 GMT+0800 (中国标准时间),,s1w38,focus,
Fri Aug 21 2015 15:15:34 GMT+0800 (中国标准时间),,s1w39,focus,
Fri Aug 21 2015 15:15:35 GMT+0800 (中国标准时间),,s1w40,focus,
Fri Aug 21 2015 15:15:36 GMT+0800 (中国标准时间),,s1w41,focus,
Fri Aug 21 2015 15:15:37 GMT+0800 (中国标准时间),,s1w42,focus,
Fri Aug 21 2015 15:15:37 GMT+0800 (中国标准时间),,s1w43,focus,
Fri Aug 21 2015 15:15:38 GMT+0800 (中国标准时间),,s1w44,focus,
Fri Aug 21 2015 15:15:39 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 15:15:39 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 15:15:42 GMT+0800 (中国标准时间),,s1w47,focus,
Fri Aug 21 2015 15:15:43 GMT+0800 (中国标准时间),,s1w48,focus,
Fri Aug 21 2015 15:15:46 GMT+0800 (中国标准时间),,s1w49,focus,
Fri Aug 21 2015 15:17:35 GMT+0800 (中国标准时间),,s1w50,focus,
Fri Aug 21 2015 15:17:36 GMT+0800 (中国标准时间),,s1w51,focus,
Fri Aug 21 2015 15:17:36 GMT+0800 (中国标准时间),,s1w52,focus,
Fri Aug 21 2015 15:17:39 GMT+0800 (中国标准时间),,s1w53,focus,
Fri Aug 21 2015 15:17:39 GMT+0800 (中国标准时间),,s1w54,focus,
Fri Aug 21 2015 15:17:40 GMT+0800 (中国标准时间),,s1w55,focus,
Fri Aug 21 2015 15:17:41 GMT+0800 (中国标准时间),,s1w56,focus,
Fri Aug 21 2015 15:17:41 GMT+0800 (中国标准时间),,s1w57,focus,
Fri Aug 21 2015 15:18:00 GMT+0800 (中国标准时间),,s1w58,focus,
Fri Aug 21 2015 15:18:01 GMT+0800 (中国标准时间),,s1w59,focus,
Fri Aug 21 2015 15:18:02 GMT+0800 (中国标准时间),,s1w60,focus,
Fri Aug 21 2015 15:18:02 GMT+0800 (中国标准时间),,s1w61,focus,
