Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,287811
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,287811
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,287811
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,287811
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,287811
Wed Sep 02 2015 11:12:34 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,287811
Wed Sep 02 2015 11:12:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Wed Sep 02 2015 11:12:47 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Wed Sep 02 2015 11:12:48 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"G"
Wed Sep 02 2015 11:12:49 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 11:12:49 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 11:12:49 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"G"
Wed Sep 02 2015 11:13:12 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 11:13:12 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 11:13:15 GMT+0800 (Malay Peninsula Standard Time),,s1w17,label,"^"
Wed Sep 02 2015 11:13:18 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 11:13:19 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 11:13:19 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 11:13:20 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Wed Sep 02 2015 11:13:21 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Wed Sep 02 2015 11:13:21 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Wed Sep 02 2015 11:13:21 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Wed Sep 02 2015 11:13:22 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 11:13:22 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Wed Sep 02 2015 11:13:26 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Wed Sep 02 2015 11:13:31 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Wed Sep 02 2015 11:13:32 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Wed Sep 02 2015 11:13:32 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Wed Sep 02 2015 11:13:32 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Wed Sep 02 2015 11:13:33 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Wed Sep 02 2015 11:13:33 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Wed Sep 02 2015 11:13:33 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Wed Sep 02 2015 11:13:35 GMT+0800 (Malay Peninsula Standard Time),,s1w34,label,"^"
Wed Sep 02 2015 11:13:38 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Wed Sep 02 2015 11:13:38 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Wed Sep 02 2015 11:13:39 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Wed Sep 02 2015 11:13:39 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Wed Sep 02 2015 11:13:39 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Wed Sep 02 2015 11:13:40 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 11:13:47 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Wed Sep 02 2015 11:13:49 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Wed Sep 02 2015 11:13:50 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 11:13:50 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Wed Sep 02 2015 11:13:51 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Wed Sep 02 2015 11:13:51 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
