Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,164105
Wed Sep 02 2015 18:14:29 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,164105
Wed Sep 02 2015 18:14:52 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 18:14:52 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 18:15:02 GMT+0800 (Malay Peninsula Standard Time),,s2w8,focus,
Wed Sep 02 2015 18:15:02 GMT+0800 (Malay Peninsula Standard Time),,s2w8,focus,
Wed Sep 02 2015 18:15:04 GMT+0800 (Malay Peninsula Standard Time),,s2w8,label,"^"
Wed Sep 02 2015 18:15:05 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Wed Sep 02 2015 18:15:05 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Wed Sep 02 2015 18:15:06 GMT+0800 (Malay Peninsula Standard Time),,s2w9,label,","
Wed Sep 02 2015 18:15:07 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Wed Sep 02 2015 18:15:07 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Wed Sep 02 2015 18:15:08 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Wed Sep 02 2015 18:15:08 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Wed Sep 02 2015 18:15:09 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Wed Sep 02 2015 18:15:09 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Wed Sep 02 2015 18:15:10 GMT+0800 (Malay Peninsula Standard Time),,s2w11,label,","
Wed Sep 02 2015 18:15:19 GMT+0800 (Malay Peninsula Standard Time),,s3w11,focus,
Wed Sep 02 2015 18:15:19 GMT+0800 (Malay Peninsula Standard Time),,s3w11,focus,
Wed Sep 02 2015 18:15:20 GMT+0800 (Malay Peninsula Standard Time),,s3w11,label,"^"
Wed Sep 02 2015 18:15:21 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Wed Sep 02 2015 18:15:21 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Wed Sep 02 2015 18:15:22 GMT+0800 (Malay Peninsula Standard Time),,s3w14,label,"^"
Wed Sep 02 2015 18:15:26 GMT+0800 (Malay Peninsula Standard Time),,s3w20,focus,
Wed Sep 02 2015 18:15:26 GMT+0800 (Malay Peninsula Standard Time),,s3w20,focus,
Wed Sep 02 2015 18:15:28 GMT+0800 (Malay Peninsula Standard Time),,s3w20,label,"^"
Wed Sep 02 2015 18:15:51 GMT+0800 (Malay Peninsula Standard Time),,s5w9,focus,
Wed Sep 02 2015 18:15:52 GMT+0800 (Malay Peninsula Standard Time),,s5w9,focus,
Wed Sep 02 2015 18:15:54 GMT+0800 (Malay Peninsula Standard Time),,s5w9,label,"^"
Wed Sep 02 2015 18:15:56 GMT+0800 (Malay Peninsula Standard Time),,s5w11,focus,
Wed Sep 02 2015 18:15:56 GMT+0800 (Malay Peninsula Standard Time),,s5w11,focus,
Wed Sep 02 2015 18:15:57 GMT+0800 (Malay Peninsula Standard Time),,s5w11,focus,
Wed Sep 02 2015 18:16:02 GMT+0800 (Malay Peninsula Standard Time),,s5w21,focus,
Wed Sep 02 2015 18:16:02 GMT+0800 (Malay Peninsula Standard Time),,s5w21,focus,
Wed Sep 02 2015 18:16:04 GMT+0800 (Malay Peninsula Standard Time),,s5w21,label,"^"
Wed Sep 02 2015 18:16:24 GMT+0800 (Malay Peninsula Standard Time),,s7w15,focus,
Wed Sep 02 2015 18:16:24 GMT+0800 (Malay Peninsula Standard Time),,s7w15,focus,
Wed Sep 02 2015 18:16:24 GMT+0800 (Malay Peninsula Standard Time),,s7w15,label,"N"
Wed Sep 02 2015 18:16:29 GMT+0800 (Malay Peninsula Standard Time),,s7w35,focus,
Wed Sep 02 2015 18:16:29 GMT+0800 (Malay Peninsula Standard Time),,s7w35,focus,
Wed Sep 02 2015 18:16:30 GMT+0800 (Malay Peninsula Standard Time),,s7w35,label,"^"
Wed Sep 02 2015 18:16:36 GMT+0800 (Malay Peninsula Standard Time),,s7w58,focus,
Wed Sep 02 2015 18:16:36 GMT+0800 (Malay Peninsula Standard Time),,s7w58,focus,
Wed Sep 02 2015 18:16:37 GMT+0800 (Malay Peninsula Standard Time),,s7w58,label,"^"
Wed Sep 02 2015 18:16:56 GMT+0800 (Malay Peninsula Standard Time),,s7w118,focus,
Wed Sep 02 2015 18:16:56 GMT+0800 (Malay Peninsula Standard Time),,s7w118,focus,
Wed Sep 02 2015 18:16:56 GMT+0800 (Malay Peninsula Standard Time),,s7w118,label,"^"
Wed Sep 02 2015 18:16:58 GMT+0800 (Malay Peninsula Standard Time),,s7w124,focus,
Wed Sep 02 2015 18:16:58 GMT+0800 (Malay Peninsula Standard Time),,s7w124,focus,
Wed Sep 02 2015 18:16:59 GMT+0800 (Malay Peninsula Standard Time),,s7w124,label,"^"
Wed Sep 02 2015 18:17:01 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
