Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s0,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s1,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s2,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s3,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s4,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s5,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s6,twitterId,70785
Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,s7,twitterId,70785
Fri Aug 21 2015 16:38:56 GMT+0800 (中国标准时间),,s0w15,focus,
Fri Aug 21 2015 16:38:56 GMT+0800 (中国标准时间),,s0w15,focus,
Fri Aug 21 2015 16:38:57 GMT+0800 (中国标准时间),,s0w15,label,"^"
Fri Aug 21 2015 16:38:58 GMT+0800 (中国标准时间),,s0w17,focus,
Fri Aug 21 2015 16:38:58 GMT+0800 (中国标准时间),,s0w17,focus,
Fri Aug 21 2015 16:38:59 GMT+0800 (中国标准时间),,s0w17,label,"^"
Fri Aug 21 2015 16:40:53 GMT+0800 (中国标准时间),,s0w17,focus,
Fri Aug 21 2015 16:41:11 GMT+0800 (中国标准时间),,s1w26,focus,
Fri Aug 21 2015 16:41:11 GMT+0800 (中国标准时间),,s1w26,focus,
Fri Aug 21 2015 16:41:13 GMT+0800 (中国标准时间),,s1w26,label,"^"
Fri Aug 21 2015 16:43:10 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 16:43:10 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 16:43:11 GMT+0800 (中国标准时间),,s2w14,label,"V"
Fri Aug 21 2015 16:43:13 GMT+0800 (中国标准时间),,s2w16,focus,
Fri Aug 21 2015 16:43:13 GMT+0800 (中国标准时间),,s2w16,focus,
Fri Aug 21 2015 16:43:14 GMT+0800 (中国标准时间),,s2w16,label,"V"
Fri Aug 21 2015 16:44:40 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 16:44:40 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 16:44:42 GMT+0800 (中国标准时间),,s2w14,label,"^"
Fri Aug 21 2015 16:44:42 GMT+0800 (中国标准时间),,s2w16,focus,
Fri Aug 21 2015 16:44:42 GMT+0800 (中国标准时间),,s2w16,focus,
Fri Aug 21 2015 16:44:43 GMT+0800 (中国标准时间),,s2w16,label,"^"
Fri Aug 21 2015 16:45:04 GMT+0800 (中国标准时间),,s3w11,focus,
Fri Aug 21 2015 16:45:04 GMT+0800 (中国标准时间),,s3w11,focus,
Fri Aug 21 2015 16:45:06 GMT+0800 (中国标准时间),,s3w11,label,"G"
Fri Aug 21 2015 16:45:09 GMT+0800 (中国标准时间),,s3w23,focus,
Fri Aug 21 2015 16:45:09 GMT+0800 (中国标准时间),,s3w23,focus,
Fri Aug 21 2015 16:45:10 GMT+0800 (中国标准时间),,s3w16,focus,
Fri Aug 21 2015 16:45:10 GMT+0800 (中国标准时间),,s3w16,focus,
Fri Aug 21 2015 16:45:12 GMT+0800 (中国标准时间),,s3w16,label,"^"
Fri Aug 21 2015 16:45:13 GMT+0800 (中国标准时间),,s3w18,focus,
Fri Aug 21 2015 16:45:13 GMT+0800 (中国标准时间),,s3w18,focus,
Fri Aug 21 2015 16:45:20 GMT+0800 (中国标准时间),,s3w18,label,"V"
Fri Aug 21 2015 16:45:25 GMT+0800 (中国标准时间),,s3w23,focus,
Fri Aug 21 2015 16:45:25 GMT+0800 (中国标准时间),,s3w23,focus,
Fri Aug 21 2015 16:45:26 GMT+0800 (中国标准时间),,s3w23,label,"^"
Fri Aug 21 2015 16:45:35 GMT+0800 (中国标准时间),,s3w26,focus,
Fri Aug 21 2015 16:45:35 GMT+0800 (中国标准时间),,s3w26,focus,
Fri Aug 21 2015 16:45:37 GMT+0800 (中国标准时间),,s3w26,label,"G"
Fri Aug 21 2015 16:45:38 GMT+0800 (中国标准时间),,s3w27,focus,
Fri Aug 21 2015 16:45:38 GMT+0800 (中国标准时间),,s3w27,focus,
Fri Aug 21 2015 16:45:39 GMT+0800 (中国标准时间),,s3w27,label,"G"
Fri Aug 21 2015 16:45:52 GMT+0800 (中国标准时间),,s3w28,focus,
Fri Aug 21 2015 16:45:52 GMT+0800 (中国标准时间),,s3w28,focus,
Fri Aug 21 2015 16:45:53 GMT+0800 (中国标准时间),,s3w28,label,"N"
Fri Aug 21 2015 16:45:54 GMT+0800 (中国标准时间),,s3w30,focus,
Fri Aug 21 2015 16:45:54 GMT+0800 (中国标准时间),,s3w30,focus,
Fri Aug 21 2015 16:45:55 GMT+0800 (中国标准时间),,s3w39,focus,
Fri Aug 21 2015 16:45:55 GMT+0800 (中国标准时间),,s3w39,focus,
Fri Aug 21 2015 16:45:56 GMT+0800 (中国标准时间),,s3w32,focus,
Fri Aug 21 2015 16:45:56 GMT+0800 (中国标准时间),,s3w32,focus,
Fri Aug 21 2015 16:45:57 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:45:57 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:45:59 GMT+0800 (中国标准时间),,s3w45,focus,
Fri Aug 21 2015 16:45:59 GMT+0800 (中国标准时间),,s3w45,focus,
Fri Aug 21 2015 16:45:59 GMT+0800 (中国标准时间),,s3w46,focus,
Fri Aug 21 2015 16:45:59 GMT+0800 (中国标准时间),,s3w46,focus,
Fri Aug 21 2015 16:46:00 GMT+0800 (中国标准时间),,s3w47,focus,
Fri Aug 21 2015 16:46:00 GMT+0800 (中国标准时间),,s3w47,focus,
Fri Aug 21 2015 16:46:00 GMT+0800 (中国标准时间),,s3w39,focus,
Fri Aug 21 2015 16:46:00 GMT+0800 (中国标准时间),,s3w39,focus,
Fri Aug 21 2015 16:46:02 GMT+0800 (中国标准时间),,s3w41,focus,
Fri Aug 21 2015 16:46:02 GMT+0800 (中国标准时间),,s3w41,focus,
Fri Aug 21 2015 16:46:03 GMT+0800 (中国标准时间),,s3w41,label,"N"
Fri Aug 21 2015 16:46:05 GMT+0800 (中国标准时间),,s3w41,label,"^"
Fri Aug 21 2015 16:46:07 GMT+0800 (中国标准时间),,s3w43,focus,
Fri Aug 21 2015 16:46:07 GMT+0800 (中国标准时间),,s3w43,focus,
Fri Aug 21 2015 16:46:14 GMT+0800 (中国标准时间),,s3w48,focus,
Fri Aug 21 2015 16:46:14 GMT+0800 (中国标准时间),,s3w48,focus,
Fri Aug 21 2015 16:46:16 GMT+0800 (中国标准时间),,s3w48,label,"A"
Fri Aug 21 2015 16:47:18 GMT+0800 (中国标准时间),,s3w54,focus,
Fri Aug 21 2015 16:47:18 GMT+0800 (中国标准时间),,s3w54,focus,
Fri Aug 21 2015 16:47:18 GMT+0800 (中国标准时间),,s3w54,label,"N"
Fri Aug 21 2015 16:47:48 GMT+0800 (中国标准时间),,s3w81,focus,
Fri Aug 21 2015 16:47:48 GMT+0800 (中国标准时间),,s3w81,focus,
Fri Aug 21 2015 16:47:50 GMT+0800 (中国标准时间),,s3w81,label,"G"
