Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s0,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s1,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s2,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s3,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s4,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s5,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s6,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s7,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s8,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s9,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s10,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s11,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s12,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s13,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s14,twitterId,447097
Wed Aug 26 2015 21:21:47 GMT+0800 (China Standard Time),,s15,twitterId,447097
Wed Aug 26 2015 21:22:09 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:22:09 GMT+0800 (China Standard Time),,s0w1,focus,
Wed Aug 26 2015 21:22:10 GMT+0800 (China Standard Time),,s0w1,label,"^"
Wed Aug 26 2015 21:22:12 GMT+0800 (China Standard Time),,s0w3,focus,
Wed Aug 26 2015 21:22:12 GMT+0800 (China Standard Time),,s0w3,focus,
Wed Aug 26 2015 21:22:13 GMT+0800 (China Standard Time),,s0w3,label,"^"
Wed Aug 26 2015 21:22:15 GMT+0800 (China Standard Time),,s0w4,focus,
Wed Aug 26 2015 21:22:15 GMT+0800 (China Standard Time),,s0w4,focus,
Wed Aug 26 2015 21:22:18 GMT+0800 (China Standard Time),,s0w4,label,"N"
Wed Aug 26 2015 21:22:21 GMT+0800 (China Standard Time),,s0w5,focus,
Wed Aug 26 2015 21:22:22 GMT+0800 (China Standard Time),,s1w1,focus,
