Thu Aug 27 2015 13:43:30 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:43:30 GMT+0800 (China Standard Time),,s0,twitterId,512002
Thu Aug 27 2015 13:43:30 GMT+0800 (China Standard Time),,s1,twitterId,512002
Thu Aug 27 2015 13:43:32 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:43:32 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:43:32 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:43:32 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:43:33 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:43:34 GMT+0800 (China Standard Time),,s0w5,focus,
Thu Aug 27 2015 13:43:34 GMT+0800 (China Standard Time),,s0w6,focus,
Thu Aug 27 2015 13:43:34 GMT+0800 (China Standard Time),,s0w7,focus,
Thu Aug 27 2015 13:43:35 GMT+0800 (China Standard Time),,s0w7,label,"^"
Thu Aug 27 2015 13:43:35 GMT+0800 (China Standard Time),,s0w8,focus,
Thu Aug 27 2015 13:43:36 GMT+0800 (China Standard Time),,s0w9,focus,
Thu Aug 27 2015 13:43:36 GMT+0800 (China Standard Time),,s0w10,focus,
Thu Aug 27 2015 13:43:36 GMT+0800 (China Standard Time),,s0w11,focus,
Thu Aug 27 2015 13:43:37 GMT+0800 (China Standard Time),,s0w12,focus,
Thu Aug 27 2015 13:43:37 GMT+0800 (China Standard Time),,s0w13,focus,
Thu Aug 27 2015 13:43:37 GMT+0800 (China Standard Time),,s0w14,focus,
Thu Aug 27 2015 13:43:37 GMT+0800 (China Standard Time),,s0w15,focus,
Thu Aug 27 2015 13:43:38 GMT+0800 (China Standard Time),,s0w16,focus,
Thu Aug 27 2015 13:43:38 GMT+0800 (China Standard Time),,s0w17,focus,
Thu Aug 27 2015 13:43:39 GMT+0800 (China Standard Time),,s0w18,focus,
Thu Aug 27 2015 13:43:39 GMT+0800 (China Standard Time),,s0w19,focus,
Thu Aug 27 2015 13:43:40 GMT+0800 (China Standard Time),,s0w19,label,"^"
Thu Aug 27 2015 13:43:40 GMT+0800 (China Standard Time),,s0w20,focus,
Thu Aug 27 2015 13:43:40 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:43:41 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:43:41 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:43:42 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:43:42 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:43:42 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:43:43 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:43:43 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:43:43 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:43:44 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:43:44 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:43:44 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:43:45 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:43:45 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:43:45 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:43:45 GMT+0800 (China Standard Time),,s1w16,focus,
Thu Aug 27 2015 13:43:46 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:43:46 GMT+0800 (China Standard Time),,s1w18,focus,
