Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s0,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s1,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s2,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s3,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s4,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s5,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s6,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s7,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s8,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s9,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s10,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s11,twitterId,522158
Fri Aug 28 2015 20:53:54 GMT+0800 (China Standard Time),,s12,twitterId,522158
Fri Aug 28 2015 20:53:56 GMT+0800 (China Standard Time),,s0w10,focus,
Fri Aug 28 2015 20:53:56 GMT+0800 (China Standard Time),,s0w10,focus,
Fri Aug 28 2015 20:54:01 GMT+0800 (China Standard Time),,s0w1,focus,
Fri Aug 28 2015 20:54:01 GMT+0800 (China Standard Time),,s0w1,focus,
Fri Aug 28 2015 20:54:02 GMT+0800 (China Standard Time),,s0w2,focus,
Fri Aug 28 2015 20:54:03 GMT+0800 (China Standard Time),,s0w3,focus,
Fri Aug 28 2015 20:54:03 GMT+0800 (China Standard Time),,s0w4,focus,
Fri Aug 28 2015 20:54:03 GMT+0800 (China Standard Time),,s0w5,focus,
Fri Aug 28 2015 20:54:03 GMT+0800 (China Standard Time),,s0w6,focus,
Fri Aug 28 2015 20:54:04 GMT+0800 (China Standard Time),,s0w7,focus,
Fri Aug 28 2015 20:54:05 GMT+0800 (China Standard Time),,s0w8,focus,
Fri Aug 28 2015 20:54:06 GMT+0800 (China Standard Time),,s0w9,focus,
Fri Aug 28 2015 20:54:06 GMT+0800 (China Standard Time),,s0w10,focus,
Fri Aug 28 2015 20:54:07 GMT+0800 (China Standard Time),,s0w11,focus,
Fri Aug 28 2015 20:54:07 GMT+0800 (China Standard Time),,s0w12,focus,
Fri Aug 28 2015 20:54:07 GMT+0800 (China Standard Time),,s0w13,focus,
Fri Aug 28 2015 20:54:07 GMT+0800 (China Standard Time),,s0w14,focus,
Fri Aug 28 2015 20:54:08 GMT+0800 (China Standard Time),,s1w1,focus,
Fri Aug 28 2015 20:54:10 GMT+0800 (China Standard Time),,s1w2,focus,
Fri Aug 28 2015 20:54:10 GMT+0800 (China Standard Time),,s1w3,focus,
Fri Aug 28 2015 20:54:10 GMT+0800 (China Standard Time),,s1w4,focus,
Fri Aug 28 2015 20:54:10 GMT+0800 (China Standard Time),,s1w5,focus,
Fri Aug 28 2015 20:54:11 GMT+0800 (China Standard Time),,s1w6,focus,
Fri Aug 28 2015 20:54:11 GMT+0800 (China Standard Time),,s1w7,focus,
Fri Aug 28 2015 20:54:11 GMT+0800 (China Standard Time),,s1w8,focus,
Fri Aug 28 2015 20:54:11 GMT+0800 (China Standard Time),,s1w9,focus,
Fri Aug 28 2015 20:54:12 GMT+0800 (China Standard Time),,s1w10,focus,
Fri Aug 28 2015 20:54:12 GMT+0800 (China Standard Time),,s1w11,focus,
Fri Aug 28 2015 20:54:12 GMT+0800 (China Standard Time),,s1w12,focus,
Fri Aug 28 2015 20:54:12 GMT+0800 (China Standard Time),,s1w13,focus,
Fri Aug 28 2015 20:54:13 GMT+0800 (China Standard Time),,s1w14,focus,
Fri Aug 28 2015 20:54:13 GMT+0800 (China Standard Time),,s1w15,focus,
Fri Aug 28 2015 20:54:13 GMT+0800 (China Standard Time),,s1w16,focus,
Fri Aug 28 2015 20:54:13 GMT+0800 (China Standard Time),,s1w17,focus,
Fri Aug 28 2015 20:54:13 GMT+0800 (China Standard Time),,s1w18,focus,
Fri Aug 28 2015 20:54:14 GMT+0800 (China Standard Time),,s1w19,focus,
Fri Aug 28 2015 20:54:14 GMT+0800 (China Standard Time),,s1w20,focus,
Fri Aug 28 2015 20:54:14 GMT+0800 (China Standard Time),,s1w21,focus,
Fri Aug 28 2015 20:54:14 GMT+0800 (China Standard Time),,s1w22,focus,
Fri Aug 28 2015 20:54:15 GMT+0800 (China Standard Time),,s1w23,focus,
Fri Aug 28 2015 20:54:15 GMT+0800 (China Standard Time),,s1w24,focus,
