Fri Aug 21 2015 15:49:00 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 15:49:00 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,389136
Fri Aug 21 2015 15:49:00 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,389136
Fri Aug 21 2015 15:49:00 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,389136
Fri Aug 21 2015 15:49:03 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:49:05 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 15:49:19 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"V"
Fri Aug 21 2015 15:49:22 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 15:49:23 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 15:49:24 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 15:49:27 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"N"
Fri Aug 21 2015 15:49:30 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 15:49:33 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 15:49:35 GMT+0800 (Malay Peninsula Standard Time),,s1w2,label,"^"
Fri Aug 21 2015 15:49:38 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 15:49:39 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 15:49:39 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 15:49:40 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 15:49:43 GMT+0800 (Malay Peninsula Standard Time),,s1w6,label,"^"
Fri Aug 21 2015 15:50:01 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Aug 21 2015 15:50:18 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Aug 21 2015 15:50:19 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Aug 21 2015 15:50:26 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Aug 21 2015 15:50:27 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Aug 21 2015 15:50:28 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Aug 21 2015 15:50:29 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Aug 21 2015 15:50:29 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Aug 21 2015 15:50:30 GMT+0800 (Malay Peninsula Standard Time),,s1w14,label,"N"
Fri Aug 21 2015 15:50:40 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Aug 21 2015 15:50:42 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Aug 21 2015 15:50:49 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Aug 21 2015 15:50:51 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Aug 21 2015 15:50:52 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Aug 21 2015 15:50:53 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Aug 21 2015 15:50:55 GMT+0800 (Malay Peninsula Standard Time),,s1w20,label,"^"
Fri Aug 21 2015 15:50:57 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Aug 21 2015 15:50:57 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Aug 21 2015 15:50:58 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Aug 21 2015 15:51:01 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Aug 21 2015 15:51:07 GMT+0800 (Malay Peninsula Standard Time),,s1w24,label,"N"
Fri Aug 21 2015 15:51:11 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Aug 21 2015 15:51:12 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Aug 21 2015 15:51:13 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Aug 21 2015 15:51:20 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Aug 21 2015 15:51:20 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Aug 21 2015 15:51:21 GMT+0800 (Malay Peninsula Standard Time),,s1w26,label,"N"
Fri Aug 21 2015 15:51:22 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Aug 21 2015 15:51:23 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Aug 21 2015 15:51:23 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"N"
Fri Aug 21 2015 15:51:25 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Aug 21 2015 15:51:26 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Aug 21 2015 15:51:27 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Aug 21 2015 15:51:35 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Aug 21 2015 15:51:36 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Aug 21 2015 15:51:37 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Aug 21 2015 15:51:38 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Aug 21 2015 15:51:39 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Aug 21 2015 15:51:39 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Aug 21 2015 15:51:40 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
