Tue Aug 25 2015 10:42:55 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:42:55 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,928957
Tue Aug 25 2015 10:42:55 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,928957
Tue Aug 25 2015 10:42:55 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,928957
Tue Aug 25 2015 10:42:58 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Tue Aug 25 2015 10:42:58 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Tue Aug 25 2015 10:42:59 GMT+0800 (Malay Peninsula Standard Time),,s0w6,label,"N"
Tue Aug 25 2015 10:43:19 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Tue Aug 25 2015 10:43:19 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Tue Aug 25 2015 10:43:19 GMT+0800 (Malay Peninsula Standard Time),,s1w27,label,"V"
Tue Aug 25 2015 10:43:55 GMT+0800 (Malay Peninsula Standard Time),,s1w27,label,"G"
Tue Aug 25 2015 10:43:56 GMT+0800 (Malay Peninsula Standard Time),,s2w47,focus,
Tue Aug 25 2015 10:43:56 GMT+0800 (Malay Peninsula Standard Time),,s2w47,focus,
Tue Aug 25 2015 10:43:56 GMT+0800 (Malay Peninsula Standard Time),,s2w47,label,"G"
Tue Aug 25 2015 10:43:57 GMT+0800 (Malay Peninsula Standard Time),,s2w48,focus,
Tue Aug 25 2015 10:43:57 GMT+0800 (Malay Peninsula Standard Time),,s2w48,focus,
Tue Aug 25 2015 10:43:57 GMT+0800 (Malay Peninsula Standard Time),,s2w48,label,"G"
Tue Aug 25 2015 10:43:57 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Tue Aug 25 2015 10:43:57 GMT+0800 (Malay Peninsula Standard Time),,s2w49,focus,
Tue Aug 25 2015 10:43:58 GMT+0800 (Malay Peninsula Standard Time),,s2w49,label,"G"
Tue Aug 25 2015 10:43:59 GMT+0800 (Malay Peninsula Standard Time),,s2w46,focus,
Tue Aug 25 2015 10:44:00 GMT+0800 (Malay Peninsula Standard Time),,s2w46,focus,
Tue Aug 25 2015 10:44:00 GMT+0800 (Malay Peninsula Standard Time),,s2w46,label,"G"
Tue Aug 25 2015 10:44:01 GMT+0800 (Malay Peninsula Standard Time),,s2w44,focus,
Tue Aug 25 2015 10:44:02 GMT+0800 (Malay Peninsula Standard Time),,s2w44,focus,
Tue Aug 25 2015 10:44:02 GMT+0800 (Malay Peninsula Standard Time),,s2w44,label,"G"
Tue Aug 25 2015 10:44:02 GMT+0800 (Malay Peninsula Standard Time),,s2w45,focus,
Tue Aug 25 2015 10:44:02 GMT+0800 (Malay Peninsula Standard Time),,s2w45,focus,
Tue Aug 25 2015 10:44:03 GMT+0800 (Malay Peninsula Standard Time),,s2w45,label,"G"
Tue Aug 25 2015 10:44:03 GMT+0800 (Malay Peninsula Standard Time),,s2w43,focus,
Tue Aug 25 2015 10:44:03 GMT+0800 (Malay Peninsula Standard Time),,s2w43,focus,
Tue Aug 25 2015 10:44:03 GMT+0800 (Malay Peninsula Standard Time),,s2w43,label,"G"
Tue Aug 25 2015 10:44:04 GMT+0800 (Malay Peninsula Standard Time),,s2w42,focus,
Tue Aug 25 2015 10:44:04 GMT+0800 (Malay Peninsula Standard Time),,s2w42,focus,
Tue Aug 25 2015 10:44:04 GMT+0800 (Malay Peninsula Standard Time),,s2w42,label,"G"
Tue Aug 25 2015 10:44:05 GMT+0800 (Malay Peninsula Standard Time),,s2w41,focus,
Tue Aug 25 2015 10:44:05 GMT+0800 (Malay Peninsula Standard Time),,s2w41,focus,
Tue Aug 25 2015 10:44:06 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
