Mon Aug 24 2015 17:10:39 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 17:10:39 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,806877
Mon Aug 24 2015 17:10:39 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,806877
Mon Aug 24 2015 17:10:39 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,806877
Mon Aug 24 2015 17:10:39 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,806877
Mon Aug 24 2015 17:11:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Mon Aug 24 2015 17:11:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Mon Aug 24 2015 17:11:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"^"
Mon Aug 24 2015 17:11:51 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:11:51 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:12:16 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:12:48 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:12:48 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:12:48 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"^"
Mon Aug 24 2015 17:12:53 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Mon Aug 24 2015 17:12:53 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Mon Aug 24 2015 17:13:01 GMT+0800 (Malay Peninsula Standard Time),,s1w1,label,"V"
Mon Aug 24 2015 17:13:14 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Mon Aug 24 2015 17:13:15 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Mon Aug 24 2015 17:13:15 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Mon Aug 24 2015 17:13:16 GMT+0800 (Malay Peninsula Standard Time),,s1w2,label,"N"
Mon Aug 24 2015 17:13:19 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Mon Aug 24 2015 17:13:29 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Mon Aug 24 2015 17:13:29 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Mon Aug 24 2015 17:13:29 GMT+0800 (Malay Peninsula Standard Time),,s1w21,label,"^"
Mon Aug 24 2015 17:14:07 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Mon Aug 24 2015 17:14:07 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Mon Aug 24 2015 17:14:14 GMT+0800 (Malay Peninsula Standard Time),,s1w62,label,"A"
Mon Aug 24 2015 17:14:16 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 17:14:16 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 17:14:17 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"V"
Mon Aug 24 2015 17:14:19 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Mon Aug 24 2015 17:14:19 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Mon Aug 24 2015 17:14:20 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"G"
Mon Aug 24 2015 17:14:20 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Mon Aug 24 2015 17:14:21 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Mon Aug 24 2015 17:14:21 GMT+0800 (Malay Peninsula Standard Time),,s1w66,label,"G"
Mon Aug 24 2015 17:14:21 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Mon Aug 24 2015 17:14:22 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Mon Aug 24 2015 17:14:22 GMT+0800 (Malay Peninsula Standard Time),,s1w67,label,"G"
Mon Aug 24 2015 17:14:25 GMT+0800 (Malay Peninsula Standard Time),,s2w5,focus,
Mon Aug 24 2015 17:14:25 GMT+0800 (Malay Peninsula Standard Time),,s2w5,focus,
Mon Aug 24 2015 17:14:25 GMT+0800 (Malay Peninsula Standard Time),,s2w5,label,"^"
Mon Aug 24 2015 17:14:35 GMT+0800 (Malay Peninsula Standard Time),,s2w24,focus,
Mon Aug 24 2015 17:14:35 GMT+0800 (Malay Peninsula Standard Time),,s2w24,focus,
Mon Aug 24 2015 17:14:35 GMT+0800 (Malay Peninsula Standard Time),,s2w24,label,"^"
Mon Aug 24 2015 17:14:38 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Mon Aug 24 2015 17:14:38 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Mon Aug 24 2015 17:14:39 GMT+0800 (Malay Peninsula Standard Time),,s2w27,label,"^"
Mon Aug 24 2015 17:14:44 GMT+0800 (Malay Peninsula Standard Time),,s2w50,focus,
Mon Aug 24 2015 17:14:45 GMT+0800 (Malay Peninsula Standard Time),,s2w50,focus,
Mon Aug 24 2015 17:14:45 GMT+0800 (Malay Peninsula Standard Time),,s2w42,focus,
Mon Aug 24 2015 17:14:45 GMT+0800 (Malay Peninsula Standard Time),,s2w42,focus,
Mon Aug 24 2015 17:14:48 GMT+0800 (Malay Peninsula Standard Time),,s2w42,label,"N"
Mon Aug 24 2015 17:15:01 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Mon Aug 24 2015 17:15:01 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Mon Aug 24 2015 17:15:02 GMT+0800 (Malay Peninsula Standard Time),,s3w12,label,"N"
Mon Aug 24 2015 17:15:04 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
