Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s15,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s16,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s17,twitterId,1239076
Thu Sep 03 2015 20:22:00 GMT+0800 (Malay Peninsula Standard Time),,s18,twitterId,1239076
Thu Sep 03 2015 20:22:23 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Thu Sep 03 2015 20:22:24 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Thu Sep 03 2015 20:22:25 GMT+0800 (Malay Peninsula Standard Time),,s1w43,label,"^"
Thu Sep 03 2015 20:22:29 GMT+0800 (Malay Peninsula Standard Time),,s1w95,focus,
Thu Sep 03 2015 20:22:29 GMT+0800 (Malay Peninsula Standard Time),,s1w95,focus,
Thu Sep 03 2015 20:22:30 GMT+0800 (Malay Peninsula Standard Time),,s1w95,label,"^"
Thu Sep 03 2015 20:22:37 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Thu Sep 03 2015 20:22:37 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Thu Sep 03 2015 20:22:38 GMT+0800 (Malay Peninsula Standard Time),,s5w18,label,"^"
Thu Sep 03 2015 20:22:42 GMT+0800 (Malay Peninsula Standard Time),,s5w41,focus,
Thu Sep 03 2015 20:22:42 GMT+0800 (Malay Peninsula Standard Time),,s5w41,focus,
Thu Sep 03 2015 20:22:43 GMT+0800 (Malay Peninsula Standard Time),,s5w41,label,"^"
Thu Sep 03 2015 20:22:49 GMT+0800 (Malay Peninsula Standard Time),,s7w11,focus,
Thu Sep 03 2015 20:22:49 GMT+0800 (Malay Peninsula Standard Time),,s7w11,focus,
Thu Sep 03 2015 20:22:50 GMT+0800 (Malay Peninsula Standard Time),,s7w11,label,"^"
Thu Sep 03 2015 20:23:02 GMT+0800 (Malay Peninsula Standard Time),,s8w63,focus,
Thu Sep 03 2015 20:23:02 GMT+0800 (Malay Peninsula Standard Time),,s8w63,focus,
Thu Sep 03 2015 20:23:03 GMT+0800 (Malay Peninsula Standard Time),,s8w63,label,"^"
Thu Sep 03 2015 20:23:18 GMT+0800 (Malay Peninsula Standard Time),,s9w83,focus,
Thu Sep 03 2015 20:23:18 GMT+0800 (Malay Peninsula Standard Time),,s9w83,focus,
Thu Sep 03 2015 20:23:19 GMT+0800 (Malay Peninsula Standard Time),,s9w83,label,"^"
Thu Sep 03 2015 20:23:20 GMT+0800 (Malay Peninsula Standard Time),,s9w115,focus,
Thu Sep 03 2015 20:23:20 GMT+0800 (Malay Peninsula Standard Time),,s9w115,focus,
Thu Sep 03 2015 20:23:21 GMT+0800 (Malay Peninsula Standard Time),,s9w115,label,"^"
