Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,1173139
Wed Sep 02 2015 21:47:57 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,1173139
Wed Sep 02 2015 21:48:48 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 21:48:48 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 21:48:50 GMT+0800 (Malay Peninsula Standard Time),,s1w25,label,"N"
Wed Sep 02 2015 21:48:59 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Wed Sep 02 2015 21:48:59 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Wed Sep 02 2015 21:49:01 GMT+0800 (Malay Peninsula Standard Time),,s1w35,label,"^"
Wed Sep 02 2015 21:49:06 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Wed Sep 02 2015 21:49:06 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Wed Sep 02 2015 21:49:07 GMT+0800 (Malay Peninsula Standard Time),,s1w46,label,"^"
Wed Sep 02 2015 21:49:11 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Wed Sep 02 2015 21:49:11 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Wed Sep 02 2015 21:49:13 GMT+0800 (Malay Peninsula Standard Time),,s1w49,label,"A"
Wed Sep 02 2015 21:49:32 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Wed Sep 02 2015 21:49:32 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Wed Sep 02 2015 21:49:35 GMT+0800 (Malay Peninsula Standard Time),,s1w60,label,"O"
Wed Sep 02 2015 21:49:47 GMT+0800 (Malay Peninsula Standard Time),,s1w73,focus,
Wed Sep 02 2015 21:49:47 GMT+0800 (Malay Peninsula Standard Time),,s1w73,focus,
Wed Sep 02 2015 21:49:49 GMT+0800 (Malay Peninsula Standard Time),,s1w73,label,"V"
Wed Sep 02 2015 21:49:51 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Wed Sep 02 2015 21:49:51 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Wed Sep 02 2015 21:49:53 GMT+0800 (Malay Peninsula Standard Time),,s1w75,label,"N"
Wed Sep 02 2015 21:49:56 GMT+0800 (Malay Peninsula Standard Time),,s1w78,focus,
Wed Sep 02 2015 21:49:56 GMT+0800 (Malay Peninsula Standard Time),,s1w78,focus,
Wed Sep 02 2015 21:49:58 GMT+0800 (Malay Peninsula Standard Time),,s1w78,label,"A"
Wed Sep 02 2015 21:50:01 GMT+0800 (Malay Peninsula Standard Time),,s1w80,focus,
Wed Sep 02 2015 21:50:01 GMT+0800 (Malay Peninsula Standard Time),,s1w80,focus,
Wed Sep 02 2015 21:50:03 GMT+0800 (Malay Peninsula Standard Time),,s1w80,label,"^"
Wed Sep 02 2015 21:50:10 GMT+0800 (Malay Peninsula Standard Time),,s1w88,focus,
Wed Sep 02 2015 21:50:10 GMT+0800 (Malay Peninsula Standard Time),,s1w88,focus,
Wed Sep 02 2015 21:50:12 GMT+0800 (Malay Peninsula Standard Time),,s1w88,label,"^"
Wed Sep 02 2015 21:50:13 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Wed Sep 02 2015 21:50:13 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Wed Sep 02 2015 21:50:14 GMT+0800 (Malay Peninsula Standard Time),,s1w92,label,"^"
Wed Sep 02 2015 21:50:17 GMT+0800 (Malay Peninsula Standard Time),,s1w97,focus,
Wed Sep 02 2015 21:50:17 GMT+0800 (Malay Peninsula Standard Time),,s1w97,focus,
Wed Sep 02 2015 21:50:18 GMT+0800 (Malay Peninsula Standard Time),,s1w97,label,"^"
Wed Sep 02 2015 21:50:23 GMT+0800 (Malay Peninsula Standard Time),,s1w103,focus,
Wed Sep 02 2015 21:50:24 GMT+0800 (Malay Peninsula Standard Time),,s1w103,focus,
Wed Sep 02 2015 21:50:24 GMT+0800 (Malay Peninsula Standard Time),,s1w103,label,"^"
Wed Sep 02 2015 21:50:25 GMT+0800 (Malay Peninsula Standard Time),,s1w105,focus,
Wed Sep 02 2015 21:50:25 GMT+0800 (Malay Peninsula Standard Time),,s1w105,focus,
Wed Sep 02 2015 21:50:25 GMT+0800 (Malay Peninsula Standard Time),,s1w105,label,"^"
Wed Sep 02 2015 21:50:26 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:50:26 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 21:50:27 GMT+0800 (Malay Peninsula Standard Time),,s1w107,label,"^"
Wed Sep 02 2015 21:50:28 GMT+0800 (Malay Peninsula Standard Time),,s1w110,focus,
