Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1260874
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1260874
Thu Sep 03 2015 19:17:53 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 19:17:53 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 19:17:54 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"N"
Thu Sep 03 2015 19:17:55 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 19:17:55 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 19:17:56 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"^"
Thu Sep 03 2015 19:18:00 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 19:18:00 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 19:18:01 GMT+0800 (Malay Peninsula Standard Time),,s0w8,label,"^"
Thu Sep 03 2015 19:18:11 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Thu Sep 03 2015 19:18:12 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Thu Sep 03 2015 19:18:13 GMT+0800 (Malay Peninsula Standard Time),,s1w12,label,"V"
Thu Sep 03 2015 19:18:34 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 19:18:34 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 19:18:37 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"^"
Thu Sep 03 2015 19:19:09 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 19:19:09 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 19:19:17 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 19:19:19 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,","
Thu Sep 03 2015 19:19:27 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 19:19:27 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 19:19:28 GMT+0800 (Malay Peninsula Standard Time),,s1w46,label,"^"
Thu Sep 03 2015 19:19:32 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Thu Sep 03 2015 19:19:32 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Thu Sep 03 2015 19:19:33 GMT+0800 (Malay Peninsula Standard Time),,s1w49,label,"V"
Thu Sep 03 2015 19:20:10 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:20:10 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:20:12 GMT+0800 (Malay Peninsula Standard Time),,s2w12,label,"A"
Thu Sep 03 2015 19:20:53 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Thu Sep 03 2015 19:20:53 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Thu Sep 03 2015 19:21:12 GMT+0800 (Malay Peninsula Standard Time),,s3w10,label,"O"
Thu Sep 03 2015 19:21:24 GMT+0800 (Malay Peninsula Standard Time),,s4w6,focus,
Thu Sep 03 2015 19:21:24 GMT+0800 (Malay Peninsula Standard Time),,s4w6,focus,
Thu Sep 03 2015 19:21:24 GMT+0800 (Malay Peninsula Standard Time),,s4w6,label,"V"
Thu Sep 03 2015 19:22:41 GMT+0800 (Malay Peninsula Standard Time),,s4w6,focus,
Thu Sep 03 2015 19:23:11 GMT+0800 (Malay Peninsula Standard Time),,s4w6,focus,
Thu Sep 03 2015 19:23:37 GMT+0800 (Malay Peninsula Standard Time),,s4w6,focus,
Thu Sep 03 2015 19:24:01 GMT+0800 (Malay Peninsula Standard Time),,s5w6,focus,
Thu Sep 03 2015 19:24:01 GMT+0800 (Malay Peninsula Standard Time),,s5w6,focus,
Thu Sep 03 2015 19:24:02 GMT+0800 (Malay Peninsula Standard Time),,s5w6,label,"^"
Thu Sep 03 2015 19:24:22 GMT+0800 (Malay Peninsula Standard Time),,s7w2,focus,
Thu Sep 03 2015 19:24:22 GMT+0800 (Malay Peninsula Standard Time),,s7w2,focus,
Thu Sep 03 2015 19:24:23 GMT+0800 (Malay Peninsula Standard Time),,s7w2,label,"N"
Thu Sep 03 2015 19:24:30 GMT+0800 (Malay Peninsula Standard Time),,s7w4,focus,
Thu Sep 03 2015 19:24:30 GMT+0800 (Malay Peninsula Standard Time),,s7w4,focus,
Thu Sep 03 2015 19:24:33 GMT+0800 (Malay Peninsula Standard Time),,s7w4,label,"^"
Thu Sep 03 2015 19:25:03 GMT+0800 (Malay Peninsula Standard Time),,s7w28,focus,
Thu Sep 03 2015 19:25:03 GMT+0800 (Malay Peninsula Standard Time),,s7w28,focus,
Thu Sep 03 2015 19:25:23 GMT+0800 (Malay Peninsula Standard Time),,s7w28,label,"!"
Thu Sep 03 2015 19:25:35 GMT+0800 (Malay Peninsula Standard Time),,s8w11,focus,
Thu Sep 03 2015 19:25:36 GMT+0800 (Malay Peninsula Standard Time),,s8w11,focus,
Thu Sep 03 2015 19:25:38 GMT+0800 (Malay Peninsula Standard Time),,s8w11,label,"^"
Thu Sep 03 2015 19:26:29 GMT+0800 (Malay Peninsula Standard Time),,s8w11,focus,
Thu Sep 03 2015 19:27:05 GMT+0800 (Malay Peninsula Standard Time),,s8w11,focus,
Thu Sep 03 2015 19:27:09 GMT+0800 (Malay Peninsula Standard Time),,s8w8,focus,
Thu Sep 03 2015 19:27:09 GMT+0800 (Malay Peninsula Standard Time),,s8w8,focus,
Thu Sep 03 2015 19:27:24 GMT+0800 (Malay Peninsula Standard Time),,s8w8,label,"T"
Thu Sep 03 2015 19:27:46 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
