Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1293355
Fri Sep 04 2015 13:14:27 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,1293355
Fri Sep 04 2015 13:16:06 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 13:16:06 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 13:17:02 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Fri Sep 04 2015 13:17:03 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Fri Sep 04 2015 13:17:04 GMT+0800 (Malay Peninsula Standard Time),,s1w61,label,"^"
Fri Sep 04 2015 13:17:07 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Fri Sep 04 2015 13:17:07 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Fri Sep 04 2015 13:17:08 GMT+0800 (Malay Peninsula Standard Time),,s1w62,label,","
Fri Sep 04 2015 13:17:10 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Fri Sep 04 2015 13:17:10 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Fri Sep 04 2015 13:17:11 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,","
