Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s0,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s1,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s2,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s3,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s4,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s5,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s6,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s7,twitterId,989017
Wed Sep 02 2015 19:43:14 GMT+0800 (CST),,s8,twitterId,989017
Wed Sep 02 2015 19:44:19 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:44:19 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:44:21 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:44:29 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:44:29 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:44:30 GMT+0800 (CST),,s0w3,label,"^"
Wed Sep 02 2015 19:44:31 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 19:44:31 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 19:44:32 GMT+0800 (CST),,s0w5,label,"^"
Wed Sep 02 2015 19:44:56 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 19:44:56 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 19:44:56 GMT+0800 (CST),,s1w41,label,"^"
Wed Sep 02 2015 19:45:07 GMT+0800 (CST),,s1w66,focus,
Wed Sep 02 2015 19:45:07 GMT+0800 (CST),,s1w66,focus,
Wed Sep 02 2015 19:45:08 GMT+0800 (CST),,s1w66,label,"^"
Wed Sep 02 2015 19:45:20 GMT+0800 (CST),,s1w80,focus,
Wed Sep 02 2015 19:45:20 GMT+0800 (CST),,s1w80,focus,
Wed Sep 02 2015 19:45:23 GMT+0800 (CST),,s1w80,label,"N"
Wed Sep 02 2015 19:45:36 GMT+0800 (CST),,s1w80,focus,
Wed Sep 02 2015 19:45:58 GMT+0800 (CST),,s1w124,focus,
Wed Sep 02 2015 19:45:58 GMT+0800 (CST),,s1w124,focus,
Wed Sep 02 2015 19:45:59 GMT+0800 (CST),,s1w124,label,"N"
Wed Sep 02 2015 19:46:22 GMT+0800 (CST),,s2w14,focus,
Wed Sep 02 2015 19:46:22 GMT+0800 (CST),,s2w14,focus,
Wed Sep 02 2015 19:46:23 GMT+0800 (CST),,s2w14,label,"^"
Wed Sep 02 2015 19:46:27 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:46:27 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:46:28 GMT+0800 (CST),,s2w19,label,"^"
Wed Sep 02 2015 19:46:34 GMT+0800 (CST),,s2w23,focus,
Wed Sep 02 2015 19:46:34 GMT+0800 (CST),,s2w23,focus,
Wed Sep 02 2015 19:46:35 GMT+0800 (CST),,s2w23,label,","
Wed Sep 02 2015 19:46:36 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 19:46:36 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 19:46:37 GMT+0800 (CST),,s2w24,label,"^"
Wed Sep 02 2015 19:46:38 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 19:46:38 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 19:46:39 GMT+0800 (CST),,s2w25,label,","
Wed Sep 02 2015 19:46:43 GMT+0800 (CST),,s2w31,focus,
Wed Sep 02 2015 19:46:43 GMT+0800 (CST),,s2w31,focus,
Wed Sep 02 2015 19:46:51 GMT+0800 (CST),,s2w31,label,"^"
Wed Sep 02 2015 19:47:07 GMT+0800 (CST),,s2w41,focus,
Wed Sep 02 2015 19:47:07 GMT+0800 (CST),,s2w41,focus,
Wed Sep 02 2015 19:47:10 GMT+0800 (CST),,s2w41,label,"^"
Wed Sep 02 2015 19:47:13 GMT+0800 (CST),,s2w44,focus,
Wed Sep 02 2015 19:47:13 GMT+0800 (CST),,s2w44,focus,
Wed Sep 02 2015 19:47:14 GMT+0800 (CST),,s2w44,label,"^"
Wed Sep 02 2015 19:47:27 GMT+0800 (CST),,s2w64,focus,
Wed Sep 02 2015 19:47:27 GMT+0800 (CST),,s2w64,focus,
Wed Sep 02 2015 19:47:28 GMT+0800 (CST),,s2w64,label,"N"
Wed Sep 02 2015 19:47:47 GMT+0800 (CST),,s4w10,focus,
Wed Sep 02 2015 19:47:47 GMT+0800 (CST),,s4w10,focus,
Wed Sep 02 2015 19:47:47 GMT+0800 (CST),,s4w10,label,"^"
Wed Sep 02 2015 19:48:03 GMT+0800 (CST),,s5w21,focus,
Wed Sep 02 2015 19:48:03 GMT+0800 (CST),,s5w21,focus,
Wed Sep 02 2015 19:48:18 GMT+0800 (CST),,s5w21,focus,
Wed Sep 02 2015 19:48:23 GMT+0800 (CST),,s5w29,focus,
Wed Sep 02 2015 19:48:23 GMT+0800 (CST),,s5w29,focus,
Wed Sep 02 2015 19:48:24 GMT+0800 (CST),,s5w29,label,"^"
Wed Sep 02 2015 19:48:40 GMT+0800 (CST),,s5w68,focus,
Wed Sep 02 2015 19:48:40 GMT+0800 (CST),,s5w68,focus,
Wed Sep 02 2015 19:48:40 GMT+0800 (CST),,s5w68,label,"^"
Wed Sep 02 2015 19:48:41 GMT+0800 (CST),,s5w66,focus,
Wed Sep 02 2015 19:48:41 GMT+0800 (CST),,s5w66,focus,
Wed Sep 02 2015 19:48:42 GMT+0800 (CST),,s5w66,label,"^"
Wed Sep 02 2015 19:48:43 GMT+0800 (CST),,s5w71,focus,
Wed Sep 02 2015 19:48:43 GMT+0800 (CST),,s5w71,focus,
Wed Sep 02 2015 19:48:44 GMT+0800 (CST),,s5w71,label,"^"
Wed Sep 02 2015 19:48:49 GMT+0800 (CST),,s5w81,focus,
Wed Sep 02 2015 19:48:49 GMT+0800 (CST),,s5w81,focus,
Wed Sep 02 2015 19:48:51 GMT+0800 (CST),,s5w81,label,"N"
Wed Sep 02 2015 19:48:53 GMT+0800 (CST),,s5w84,focus,
Wed Sep 02 2015 19:48:53 GMT+0800 (CST),,s5w84,focus,
Wed Sep 02 2015 19:48:54 GMT+0800 (CST),,s5w84,label,"^"
Wed Sep 02 2015 19:49:21 GMT+0800 (CST),,s6w30,focus,
Wed Sep 02 2015 19:49:21 GMT+0800 (CST),,s6w30,focus,
Wed Sep 02 2015 19:49:22 GMT+0800 (CST),,s6w30,label,"N"
Wed Sep 02 2015 19:49:30 GMT+0800 (CST),,s7w5,focus,
Wed Sep 02 2015 19:49:30 GMT+0800 (CST),,s7w5,focus,
Wed Sep 02 2015 19:49:31 GMT+0800 (CST),,s7w5,label,"^"
Wed Sep 02 2015 19:49:40 GMT+0800 (CST),,s7w13,focus,
Wed Sep 02 2015 19:49:40 GMT+0800 (CST),,s7w13,focus,
Wed Sep 02 2015 19:49:53 GMT+0800 (CST),,s7w13,focus,
Wed Sep 02 2015 19:50:03 GMT+0800 (CST),,s8w27,focus,
Wed Sep 02 2015 19:50:03 GMT+0800 (CST),,s8w27,focus,
Wed Sep 02 2015 19:50:04 GMT+0800 (CST),,s8w15,focus,
Wed Sep 02 2015 19:50:04 GMT+0800 (CST),,s8w15,focus,
Wed Sep 02 2015 19:50:05 GMT+0800 (CST),,s8w15,label,"^"
Wed Sep 02 2015 19:50:16 GMT+0800 (CST),,,submitPage,
