Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,652376
Fri Sep 04 2015 16:49:38 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,652376
Fri Sep 04 2015 16:49:54 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:49:54 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:49:54 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 16:49:55 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 16:49:55 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 16:49:56 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:49:59 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"^"
Fri Sep 04 2015 16:50:00 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 16:50:01 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Sep 04 2015 16:50:02 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Sep 04 2015 16:50:02 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Sep 04 2015 16:50:02 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 16:50:02 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Sep 04 2015 16:50:03 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Sep 04 2015 16:50:04 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Sep 04 2015 16:50:04 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 16:50:04 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Sep 04 2015 16:50:05 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:50:07 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Fri Sep 04 2015 16:50:07 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Sep 04 2015 16:50:07 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 16:50:08 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 16:50:09 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Sep 04 2015 16:50:09 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 16:50:11 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 16:50:12 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Sep 04 2015 16:50:12 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Sep 04 2015 16:50:12 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 16:50:14 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Sep 04 2015 16:50:15 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Sep 04 2015 16:50:16 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Sep 04 2015 16:50:16 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Sep 04 2015 16:50:20 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Sep 04 2015 16:50:21 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Sep 04 2015 16:50:22 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Sep 04 2015 16:50:22 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Sep 04 2015 16:50:22 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Sep 04 2015 16:50:23 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Sep 04 2015 16:50:23 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Sep 04 2015 16:50:23 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Sep 04 2015 16:50:24 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Sep 04 2015 16:50:24 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 16:50:24 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Sep 04 2015 16:50:25 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Sep 04 2015 16:50:25 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Sep 04 2015 16:50:26 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Sep 04 2015 16:50:27 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Sep 04 2015 16:50:27 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 16:50:28 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Sep 04 2015 16:50:30 GMT+0800 (Malay Peninsula Standard Time),,s1w35,label,"N"
Fri Sep 04 2015 16:50:30 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Sep 04 2015 16:50:30 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,"N"
Fri Sep 04 2015 16:50:31 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 16:50:32 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Fri Sep 04 2015 16:50:33 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Fri Sep 04 2015 16:50:33 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Sep 04 2015 16:50:44 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:50:44 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:50:45 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"N"
Fri Sep 04 2015 16:50:47 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:50:47 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:50:48 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"N"
Fri Sep 04 2015 16:50:49 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Sep 04 2015 16:50:50 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Sep 04 2015 16:50:50 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Fri Sep 04 2015 16:50:51 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Fri Sep 04 2015 16:50:51 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Fri Sep 04 2015 16:50:52 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Fri Sep 04 2015 16:50:52 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Fri Sep 04 2015 16:50:53 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Fri Sep 04 2015 16:50:53 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Fri Sep 04 2015 16:50:54 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Fri Sep 04 2015 16:50:54 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Fri Sep 04 2015 16:50:56 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Fri Sep 04 2015 16:50:56 GMT+0800 (Malay Peninsula Standard Time),,s1w50,label,"N"
Fri Sep 04 2015 16:50:57 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
Fri Sep 04 2015 16:50:57 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Fri Sep 04 2015 16:50:58 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
