Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,673716
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,673716
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,673716
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,673716
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,673716
Thu Sep 03 2015 19:18:35 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,673716
Thu Sep 03 2015 19:18:49 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:18:50 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:19:45 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:20:05 GMT+0800 (Malay Peninsula Standard Time),,s4w1,label,"V"
Thu Sep 03 2015 19:20:50 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:21:22 GMT+0800 (Malay Peninsula Standard Time),,s4w8,focus,
Thu Sep 03 2015 19:21:22 GMT+0800 (Malay Peninsula Standard Time),,s4w8,focus,
Thu Sep 03 2015 19:21:22 GMT+0800 (Malay Peninsula Standard Time),,s4w8,label,"Z"
Thu Sep 03 2015 19:21:26 GMT+0800 (Malay Peninsula Standard Time),,s4w9,focus,
Thu Sep 03 2015 19:21:26 GMT+0800 (Malay Peninsula Standard Time),,s4w9,focus,
Thu Sep 03 2015 19:21:28 GMT+0800 (Malay Peninsula Standard Time),,s4w9,label,"^"
Thu Sep 03 2015 19:21:58 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Thu Sep 03 2015 19:21:58 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Thu Sep 03 2015 19:21:59 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"^"
Thu Sep 03 2015 19:22:06 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 19:22:06 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 19:22:06 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Thu Sep 03 2015 19:22:07 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Thu Sep 03 2015 19:22:09 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Thu Sep 03 2015 19:22:10 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Thu Sep 03 2015 19:22:11 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Thu Sep 03 2015 19:22:12 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Thu Sep 03 2015 19:22:13 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Thu Sep 03 2015 19:22:13 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Thu Sep 03 2015 19:22:13 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Thu Sep 03 2015 19:22:13 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Thu Sep 03 2015 19:22:14 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Thu Sep 03 2015 19:22:14 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Thu Sep 03 2015 19:22:15 GMT+0800 (Malay Peninsula Standard Time),,s1w12,label,"^"
Thu Sep 03 2015 19:22:17 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Thu Sep 03 2015 19:22:17 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Thu Sep 03 2015 19:22:19 GMT+0800 (Malay Peninsula Standard Time),,s1w14,label,"^"
Thu Sep 03 2015 19:22:19 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Thu Sep 03 2015 19:22:23 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 19:23:46 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 19:24:28 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
