Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1140796
Fri Sep 04 2015 15:27:28 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1140796
Fri Sep 04 2015 15:27:36 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 15:27:36 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 15:27:37 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"^"
Fri Sep 04 2015 15:27:38 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 15:27:38 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 15:27:56 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 15:28:14 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Fri Sep 04 2015 15:28:15 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
